book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Acts,Ac,1,1,What does the book of Acts begin with a reference to (Acts 1:1)?,The author’s location in Asia Minor,The author’s former book,The author’s role as a historian of the church,The author’s friendship with Paul,B,B
Acts,Ac,1,2,To whom is the book of Acts written (Acts 1:1)?,The church at Rome,Adelphos,Theophilus,The church at Antioch,C,B
Acts,Ac,1,3,What was the writer of Acts’ former book about (Acts 1:1)?,All Jesus began to do and teach,The disciples’ memoirs about Jesus,The travels of Jesus in Galilee and Judea,The life and death of Jesus,A,B
Acts,Ac,1,4,What did Jesus do between the time of the resurr ection and the ascension (Acts 1:2)?,He did many signs and wonders,He appeared to his disciples both in Jerusalem and Galilee,"He commissioned his disciples to proclaim the good news  
2",He gave instructions to the apostle by the Holy Spirit,D,B
Acts,Ac,1,5,What did Jesus give to the apostles after he rose from the dead (Acts 1:3)?,Many convincing proofs that he was alive,Many signs and wonders so they would believe in him,The gift of the Holy Spirit,A commission to spread the good news,A,B
Acts,Ac,1,6,For how many days did the resurrected Jesus appear to his apostles (Acts 1:3)?,Fifty days,Forty days,Seven days,Three days,B,B
Acts,Ac,1,7,"Concerning what did Jesus speak to the apostles for forty days after his resurrec tion 
(Acts 1:3)?",The meaning of his suffering,The coming of the Holy Spirit,The kingdom of God,The future of the church,C,B
Acts,Ac,1,8,Why did Jesus tell the apostles not to leave Jerusalem (Acts 1:4)?,They were to strengthen the brother s there first,"They were to bear testimony first to the Jews in Jerusalem  
3",Jesus would teach them there in Jerusalem,They were to wait for the gift the Father had promised,D,B
Acts,Ac,1,9,"After the resurrection , to what did Jesus compare John’s b aptism with water (Act 1:5)?",The coming baptism with the Holy Spirit,The coming baptism of persecution they would face,The coming baptism by fire of the church,The coming of fire on them to teach God’s word to the nations,A,B
Acts,Ac,1,10,"What did the apostles ask Jesus when they met together after the resurrection (Acts 
1:6)?",Whether he would now rule on David’s throne,Whether at this time he would restore the kingdom to Israel,Whether at this time he would rule over the natio ns with a rod of iron,Whether at this time he would throw off the yoke of Rome,B,B
