book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Ezra,EZ,1,1,"In what year of Cyrus’ reign was the decree made allowing the Jews to return to 
Jerusalem (Ezra 1:1)?",First,Second,Third,Fifth,A,I
Ezra,EZ,1,2,"Who was the king who made a decree to allow the Jews to return to Jerusalem (Ezra 
1:1)?",Darius,Xerxes,Cyrus,Artaxerxes,C,B
Ezra,EZ,1,3,Cyrus was king of what empire (Ezra 1:1) ?,Babylon,Assyria,Sumer,"Persia  
2",D,B
Ezra,EZ,1,4,"The proclamation  made by Cyrus allowing the Jews to return to Jerusalem was in 
fulfillment of the word of the Lord spoken by which prophet (Ezra 1:1)?",Isaiah,Jeremiah,Ezekiel,Daniel,B,B
Ezra,EZ,1,5,"What or who moved the heart of the Cyrus, king of Persia (Ezra 1:1)?",The Lord,Justice,Compassion,The satraps,A,B
Ezra,EZ,1,6,What did Cyrus say the Lord had appointed him to do (Ezra 1:1)?,Free the people of Israel,Stop taxing the Jews,Rebuild the walls of Jerusalem,Rebuild the temple at Jerusalem,D,B
Ezra,EZ,1,7,How did Cyrus in his proclamation identify the Lord (Ezra 1:2)?,As the God of heaven,As El Shaddai,"As the Rider of the Clouds  
3",As the cr eator of heaven and earth,A,I
Ezra,EZ,1,8,How did Cyrus in his proclamation identify the Lord (Ezra 1:3)?,"As the God of Abraham, Isaac and Jacob",As rider of clouds,As the God who is in Jerusalem,As he who dwells between the cherubim,C,I
Ezra,EZ,1,9,What did Cyrus credit God with giving him (Ezra 1:2)?,All power in heaven and on earth,All the kingdoms of the earth,This mighty Babylon,Wisdom and insight,B,B
Ezra,EZ,1,10,Who was to supply the returning Jews with gold to rebuild the temple (Ezra 1:4)?,The survivors,The people of the provinces,The Babylonians,The family of Haman the Agagite,A,A
Ezra,EZ,1,11,"What king of offering was to be given to support the rebuilding of the temple by the 
survivors (Ezra 1:4)?",Grain offering,"Reparation offering  
4",Trespass offering,Freewill offering,D,I
Ezra,EZ,1,12,"Cyrus in his proclamation listed all of the following as to be provided to the returning 
Jews EXCEPT (Ezra 1:4)",Gold,Cedars of Lebanon,Livestock,Silver,B,A
Ezra,EZ,1,13,"All of the following were specifically listed as having had their hearts moved by the 
Lord to rebuild the temple EXCEPT (Ezra 1:5)",Family heads of Judah,Priests,Prophets,Levites,C,B
Ezra,EZ,1,14,Who provided the Jews with g old and silver to rebuild the temple (Ezra 1:6)?,All their neighbors,The priests and Levites,The treasury of Cyrus,The house of Ahiel,A,B
