book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
DeutMCQuestions.pdf,Dt,1,1,"Deuteronomy records the words Moses spoke to all Israel  
 when they were (Deut 1:1)",In the desert east of the Jordan,Camped at  Kadesh Barnea,Arrived at Mount Hor,Wandered in the wilderness,A,B
DeutMCQuestions.pdf,Dt,1,2,"How many days does it take to go from Horeb to Kadesh Barnea  
 (Deut 1:2)?",Seven days,Eleven days,Fourteen days,Twenty -one days,B,A
DeutMCQuestions.pdf,Dt,1,3,What road doe s one take to go from Horeb to Kadesh Barnea (Deut 1:2)?,The Kadesh road,The Via Maris,The Negev road,The Mount Seir road,D,A
DeutMCQuestions.pdf,Dt,1,4,"What year did Moses proclaim the message of Deuteronomy which the  
 LORD had commanded him (Deut 1:3)?",Third year the first day of the tenth month,The twentieth year the first day of the second month,The fortieth year the first day of the eleventh month,The fortieth year the fourteenth day of the first month,C,I
DeutMCQuestions.pdf,Dt,1,5,"In the Arabah, wh at did Moses proclaim to the Israelites (Deut 1:3)?",All the journey where they had gone,All that the LORD had commanded him,All the statutes and decrees of the LORD,All that he had seen on Mount Horeb,B,B
DeutMCQuestions.pdf,Dt,1,6,"What two Amorite kings had Israel defeated prior to the proclamation  
of Deuteronomy (Deut 1:4)?",Og and Sihon,Balak and Baalam,Jabin and Sisera,Abimelech and Jobab,A,B
DeutMCQuestions.pdf,Dt,1,7,Og was the Amorite king who ruled over (Deut 1:4),Heshbon,Eschol,Bashan,Edrei,C,I
DeutMCQuestions.pdf,Dt,1,8,Sihon was the Amorite king who ruled (Deut 1:4),Heshbon,Eschol,Bashan,Edrei,A,I
DeutMCQuestions.pdf,Dt,1,9,"Moses expounded the law east of the Jordan in the territory of  
 (Deut 1:5)",Canaan,Ammon,Edom,Moab,D,B
DeutMCQuestions.pdf,Dt,1,10,"When God told Israel to break camp from Horeb, he told them to  
 go into the hill country of the ________ (Deut 1:7)",Edomites,Ammonites,Amorites,Moabites,C,A
DeutMCQuestions.pdf,Dt,1,11,"When God told Israel to break camp from Horeb, he told them to  
 go as far as what river (Deut 1:7)?",The Euphrates,Jordan,Litani,The river of Egypt,A,A
DeutMCQuestions.pdf,Dt,1,12,"When God told Israel to break camp from Horeb, what did he tell them  
he would give them (Deut 1:7)?",The cattle on a thousand hills,The land he swore to Abraham,The victory over the Philistines,The gold shields and silver trumpets,B,B
DeutMCQuestions.pdf,Dt,1,13,"In the desert east of the Jordan, Moses said God had increased the  
numbers of the Israelites so that they were as many as (Deut 1:10 )",The sand of the sea shore,Drops in the sea,The stars in the sky,Dust of the earth,C,I
DeutMCQuestions.pdf,Dt,1,14,"Because Israel was so numerous, what was Moses unable to do by  
 himself (Deut 1:12)?",Handle the articles of the tabernacle,Make all  the sacrifices to the LORD that were needed,Speak the law of the LORD to all the people,"Handle Israel's burden, problems and disputes",D,I
DeutMCQuestions.pdf,Dt,1,15,"Moses gave all of the following requirements for choosing the leaders  
who were to have authority  over the Israelites EXCEPT  
(Deut 1:13f)",Courageous,Wise,Understanding,Respected,A,I
DeutMCQuestions.pdf,Dt,1,16,"When Moses originally selected the judges of Israel, he commanded  
them that they not show partiality to (Deut 1:17)",Rich or poor,Great  or small,Young or old,Friend or foe,B,B
DeutMCQuestions.pdf,Dt,1,17,"Moses explained that the judges should not show partiality because  
 (Deut 1:17)",That was what the law commanded,They were made in the image of God,They were to judge as Moses himself wo uld judge,Judgment was the LORD's,D,I
DeutMCQuestions.pdf,Dt,1,18,"Moses said the judges could bring what kind of cases to him to  
 judge (Deut 1:17f)?",Cases involving aliens or foreigners,Cases involving the leaders of Israel,Cases that were too hard for t hem,Cases involving thousands of people,C,B
DeutMCQuestions.pdf,Dt,1,19,"Moses said when they left Horeb they set out for the hill country  
 of the _______ (Deut 1:19)",Canaanites,Amorites,Edomites,Moabites,B,I
DeutMCQuestions.pdf,Dt,1,20,"From what location did Moses tell  the Israelites to go up and take  
 the promised land (Deut 1:19f)?",Kadesh Barnea,Hazeroth,Elath,Pi Hahiroth,A,B
DeutMCQuestions.pdf,Dt,1,21,Why were the spies sent out from Kadesh Barnea (Deut 1:22f)?,To see if there were giants there,To request p ermission to enter the land from the Amorites,To report on the route and towns they would come to,To determine how the land should be divided,C,B
DeutMCQuestions.pdf,Dt,1,22,"From what valley did the spies bring back fruit to the Israelites  
camped at Kadesh Barnea  (Deut 1:24)?",Hebron,Arabah,Paran,Eschol,D,I
DeutMCQuestions.pdf,Dt,1,23,"After the spies returned, what did the Israelites conclude concerning  
God (Deut 1:27)?",He hated them and was delivering them over to the Amorites,He was powerless to bring  them into the promise land,He had forsaken them at Mount Horeb,He was a God of the desert not of the hills,A,B
DeutMCQuestions.pdf,Dt,1,24,"All of the following were used as excuses for not going up and taking  
the promised land EXCEPT (Deut 1:28)",The inhabit ants are taller and stronger than the Israelites were,They had chariots of iron,The cities were walled up to the sky,The Anakites were there,B,I
DeutMCQuestions.pdf,Dt,1,25,"Moses, after the spies' report, argued that Israel should go up and take  
the land bec ause (Deut 1:30f)",God was a mighty king and victorious over his enemies,"God had given them water and manna and now he would give  
them the victory",God would fight for them as they had seen him do in Egypt,God was a great warrior,C,B
DeutMCQuestions.pdf,Dt,1,26,"Moses, after the spies' report, said God had carried Israel like  
(Deut 1:31)",A mother bird carries food to her young,A bear carries her cubs,A camel carries the weary,A father carries his son,D,I
DeutMCQuestions.pdf,Dt,1,27,"God traveled ahead of Is rael in a fire at night and a ________  
by day (Deut 1:33)",Cloud,Deep darkness,Light,Star,A,B
DeutMCQuestions.pdf,Dt,1,28,"After Israel failed to trust God refusing to take the promised land, God  
swore (Deut 1:35)",They would all be bitten by snakes in the desert,"None of them would see the land he swore to give to their  
fathers","None of them would ever find the rest he had promised to  
  their forefathers",Their children would perish in the desert,B,B
DeutMCQuestions.pdf,Dt,1,30,"Who was the only one of the wi lderness generation who would see the  
promised land (Deut 1:36)",Gideon,Aaron,Eleazar,Caleb,D,B
DeutMCQuestions.pdf,Dt,1,31,What quality did Caleb have that God honored (Deut 1:36)?,He obeyed the commandment of the LORD,He was a humble servant of  the LORD,He followed the LORD wholeheartedly,He trusted the LORD,C,I
DeutMCQuestions.pdf,Dt,1,32,"Moses, in Deuteronomy, said that the LORD became angry at him  
 because (Deut 1:37)",Of the Israelites,He struck the rock,He too did not trust the LORD,He had rebelled against the LORD,A,I
DeutMCQuestions.pdf,Dt,1,33,"Who was Moses' assistant who was to lead Israel into the  
promised land (Deut 1:38)?",Eleazar,Caleb,Achan,Joshua,D,B
DeutMCQuestions.pdf,Dt,1,34,"God said he would give the promised land to the little ones that th e  
Israelites said would (Deut 1:39)",Be destroyed by Amorite chariots,Be taken captive,Be killed with the sword,Be fatherless because of war,B,I
DeutMCQuestions.pdf,Dt,1,35,"After God announced judgment because the Israelites refused to trust  
him by going  up and taking the promised land, the Israelites did all of  
the following EXCEPT (Deut 1:41)",They put on their weapons,They trusted the LORD's command,They confessed that they had sinned,They marched up to fight the Amorites,B,B
