book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Esther,ES,1,1,The book of Esther takes place during the reign of what Persian king (Est 1:1)?,Arta-Xerxes,Darius,Cyrus,Xerxes,D,B
Esther,ES,1,2,How many provinces did Xerxes rule over (Est 1:1)?,78,127,155,204,B,A
Esther,ES,1,3,"What were the two outer boundaries of the Persian empire during the reign of Xerxes 
(Est 1:1)?",From India to Cush,From Babylon to Memphis,From Susa to Asia Minor,From Pakistan to Gaza,A,I
Esther,ES,1,4,In the citadel of what city did Xerxes reign (Est 1:2)?,Babylon,Nuzu,Susa,Nineveh,C,B
Esther,ES,1,5,All of the following groups were present at Xerxes banquet EXCEPT (Est 1:3),The military leaders,The princes of the provinces,The priests and prophets,His officials,C,I
Esther,ES,1,6,"In what year of Xerxes’ reign did he give a banquet for all his officials and m ilitary 
leaders (Est 1:3)?","First 
2",Second,Third,Fourth,C,A
Esther,ES,1,7,What did Xerxes do for 180 days (Est 1:4)?,He displayed the vast wealth of his kingdom,He gave banquet after banquet,He fought against the Greeks,He impo rted horses and chariots for his military,A,B
Esther,ES,1,8,How long was the banquet Xerxes gave in the garden in the citadel of Susa (Est 1:5)?,Three days,Seven days,Ten days,Twelve days,B,A
Esther,ES,1,9,Where did Xerxes’ banquet take place (Est 1:5 )?,By the Tigris River at Nineveh,In the gate of the city of Susa,In the palace at Babylon,In the garden of the king’s palace,D,I
Esther,ES,1,10,"The mosaic pavement of the citadel of Susa contained all of the following precious 
stones were listed EXCEPT (Est 1:6)",Rubies,Mother -of-pearl,Marble,Porphyry,A,I
Esther,ES,1,11,What were the pillars of the citadel at Susa made (Est 1:6)?,Cedar from Lebanon,Basalt,Marble,Bronze,C,I
Esther,ES,1,12,What colors were the linen hangings in the citadel of Susa (Est 1:6)?,Crimson and black,White and blue,Gold and silver,Purple and green,B,I
Esther,ES,1,13,Of what were the rings that held the linens to the marble pillars made (Est 1:6)?,"Silver  
3",Ivory,Gold,Burnished bronze,A,A
Esther,ES,1,14,Of what were the couches on the mosaic pavement made out of (Est 1:6)?,Ivory,Silver and gold,Cedar inlaid with rubies,Basalt covered with linen from India,B,I
Esther,ES,1,15,In what was the wine for Xerxes’ banquet served (Est 1:7)?,Silver goblets,Diamond studded goblets,Crystal goblets,Gold goblets,D,I
Esther,ES,1,16,Who gave a banquet for the women in the palace of Xerxes (Est 1:9)?,Queen Esther,Queen Vashti,Queen Nerfertiti,The servants of Xerxes,B,B
Esther,ES,1,17,What did Xerxes command on the seventh day of the banquet (Est 1:10)?,To bring Queen Vashti before him wearing her royal crown,To have the servant girls dance before him while he drank wine,To give all the guest s gold and silver from the treasury,To have Queen Vashti dance before the guests of the palace,A,B
Esther,ES,1,18,"Who did Xerxes order to bring Queen Vashti before him wearing the royal crown (Est 
1:10)?",Five of his most trusted general,Seven eunuch s who served him,Twelve of the women of the palace,Three of his personal advisers,B,B
Esther,ES,1,19,All of the following were listed as eunuchs who served Xerxes EXCEPT (Est 1:10),Bigtha,Mehuman,Zimrilim,Harbona,C,A
Esther,ES,1,20,"What did Xerxes order Vashti to wear when she appeared before him at the banquet 
(Est 1:11)?  
4",Her royal crown,A purple tiara in her hair,Her royal robe,Only her royal necklace,A,B
Esther,ES,1,21,Who was Xerxes’ queen that he ordered to present herself  at his banquet (Est 1:11)?,Esther,Vashti,Seraiah,Talmonah,B,B
Esther,ES,1,22,"What was Xerxes’ reaction when Vashti refused to present herself wearing just her 
crown at his banquet (Est 1:12)?",He was sad,He was furious,He was ashame d,He was drunk,B,B
Esther,E,1,23,Xerxes will consult with his wise men who were said to understand what (Est 1:13)?,The times,Women,Court etiquette,How to solve problems,A,I
Esther,ES,1,24,It was customary for the king to consult experts in what two matters (Est 1:13)?,Court protocols,Implications for the kingdom,Rebellion and punishment,Law and justice,D,I
Esther,ES,1,25,All of the following were listed as Xerxes’ wise men EXCEPT (Est 1:14),Carshena,Memucan,Tarshis h,Bigtha,D,A
Esther,ES,1,26,"What did Xerxes ask his wise men about after Vashti did not display herself at his 
banquet (Est 1:15)?",Why had Queen Vashti not agreed to come to the king’s banquet,"According to the law, what must be done to Queen Vashti ?",How could he convince Queen Vashti to come to the banquet,To what country should Queen Vashti be banished,B,B
Esther,ES,1,27,"What did Memucan fear would happen as a result of Vashti’s refuse to obey the 
king’s command (Est 1:17)?",The king would be considered weak and neighbors might attack,Women would despise and refuse to obey their husbands,Women would celebrate Queen Vashti’s victory over the king,The laws of the Medes and Persians would be broken,B,B
Esther,ES,1,28,"Who was afraid that the noble Persian women would disrespect their husbands as a 
result of Queen Vashti’s refusal of the king’s command (Est 1:16)?",Marsena,Shethar,Memucan,Bigtha,C,A
Esther,ES,1,29,What penalty did Memucan suggest for Queen Vashti’s refusal (E st 1:19)?,She be banished into the desert,She never again be allowed to enter the gates of Susa,She be burned at the stake  as an example,"She never again be able to enter the king’s presence  
  E. That she never again would be able to w ear the royal crown",D,B
Esther,ES,1,30,"Who was Memucan afraid would hear of Queen Vashti’s refusal to obey the king’s 
command to come to the banquet (Est 1:18)?",The servant girls who carry the water,The wives of every man in the kingdom of Persia,The Persian women of nobility,The women of foreign lands,C,I
Esther,ES,1,31,"What suggestion did Memuchan make in regard to Queen Vashti’s refusal to come to 
the king’s banquet (Est 1:19)?",That her royal position be given to someone better than she,That her crown be placed on the head of one more beautiful than she,That her royal throne be given to another who would obey the king,That her royal robes be worn by another,A,B
Esther,ES,1,32,"What dispatch was sent to every province after Queen Vashti’s  refusal to come to the 
king’s banquet (Est 1:22)?",That every man should submit his wife to royal inspection,That every man should slay any wife who was disobedient,That every man should be ruler over his own household,That every woman m ust obey her husband,C,I
Esther,ES,1,33,"What was specifically mentioned about the dispatches that went out throughout the 
kingdom that every man should rule his own household (Est 1:22)?",It was sealed by King Xerxes and could not be changed,It was to be read in every city in the empire,It was to be carved in stone and installed in the gate of every city,It was sent to each people in their own language,D,A
Esther,ES,2,1,What did the king’s personal attendants propose (Est 2:2)?,"Beautiful young virgins from the provinces be brought to Susa into the 
harem",That each city send its most beautiful woman to join the king’s harem,"That all the women of the empire try  out to be judged by the king’s 
advisors to be accepted into the king’s harem",That all men of the kingdom send their most beautiful daughters to Susa,A,B
Esther,ES,2,2,What were the commissioners in every province appointed to do (Est 2:3)?,"To run beau ty contests in every province to determine the most beautiful 
woman",Provide taxes and pay the expenses of the women sent to the king,Bring all the beautiful girls into the harem of the citadel of Susa,"To order that all the men of the kingdom to provide their daughters to the 
king",C,B
Esther,ES,2,3,Where were the beautiful women from the provinces to be brought (Est 2:3)?,To the gate of Persepolis,To the meeting of the two rivers,To the palace of the king in Nuzu,To the citadel in S usa,D,I
Esther,ES,2,4,"Who was to be in charge of the women brought to Susa into the king’s harem (Est 
2:3)?",Bigtha,Hegai,Memuchan,Heman,B,A
Esther,ES,2,5,What role did Hegai play in the king’s palace (Est 2:3)?,He was an advisor to the king,He was a military general,He was the king’s eunuch,He was the one over the forced labor,C,B
Esther,ES,2,6,"What was to be given to the women brought to the citadel of Susa under Hegai’s care 
(Est 2:3)?",Beauty treatments,Vegetables and water,Royal robes and jewels,"Five days of fasting  
8",A,B
Esther,ES,2,7,Who was a Jew in the citadel of the Susa (Est 2:5)?,Heman,Eliab,Mordecai,Tebeth,C,B
Esther,ES,2,8,What tribe was Mordecai from (Es 2:5)?,Judah,Ephraim,Levi,Benjamin,D,A
Esther,ES,2,9,"Who was the most ancient ancestor of Mordecai listed from the tribe of Benjamin (Est 
2:5)?",Saul,Shimei,Kish,Eliab,C,A
Esther,ES,2,10,Who had carried Mordecai off into exile from Jerusalem (Est 2:6)?,Nebuchadnezzar,Nabopolassar,Tiglath -pileser,Shalmaneser,A,B
Esther,ES,2,11,"During the reign of what king of Judah was Mordecai carried off to Babylon along 
with Ezekiel (Est 2:6)?",Jehoiakim,Jehoiachin,Zedekiah,Gedaliah,B,I
Esther,ES,2,12,What was Esther’s ot her name (Est 2:7)?,Elishamah,Seraiah,Hadassah,Deborah,C,B
Esther,ES,2,13,What was Mordecai’s relationship to Esther (Est 2:7)?,Father,Brother,"Uncle  
9",Cousin,D,B
Esther,ES,2,14,Why did Mordecai take care of Esther (Est 2:7)?,She had neither father or mother,She had been carried off into exile with him,She had been abandoned in Susa,Her husband had died,A,B
Esther,ES,2,15,The text says Mordecai treated Esther like his own ______ (Est 2:7)?,A wife,A daughter,A sister,A niece,B,I
Esther,ES,2,16,Over what did Hegai have charge in Xerxes’ kingdom (Est 2:8)?,The labor force,The palace,The city gate,The harem,D,B
Esther,ES,2,17,Besides beauty treatments what did Hegai provide for Esther (Est 2:9)?,Special food and seven maids,A crown and special bed,Royal robes and special wine,Special perfumes and ointments,A,A
Esther,ES,2,18,How many maids did Hegai give Esther (Est 2:9)?,Three,Five,Seven,Ten,C,A
Esther,ES,2,19,Initially why did Esther not reveal her nationality and family background (Est 2:10)?,Because if she had she would have been disqualified,Because Mordecai had forbidden her to do so,Because she was afraid she would be killed,Because she at tempted to appear like she was a Persian,B,I
Esther,ES,2,20,What did Mordecai do every day to find out how Esther was doing (Est 2:11)?,He received messages from Esther from the hands of Hegai,He watched from the roof of his house as she walked by,He sent messages to her through the hands of one of the king’s eunuchs,"He walked back and forth near the courtyard harem  
10",D,I
Esther,ES,2,21,"How long were the beauty treatments for the women before they could present 
themselves to the king (Est 2:12)?",3 month,6 months,Nine months,Twelve months,D,I
