book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
GenesisMCQuestions.pdf,Gn,1,1,What two things did God create in the beginning (Gen 1:1)?,The light and the darkness,The heavens and the earth,The land and the sea,The world and the stars,B,B
GenesisMCQuestions.pdf,Gn,1,2,"What was the Spirit of God doing initially before the 7 days of creation  
began (Gen 1:2)?",Breathing life on the land,Sweeping over the earth like a wind,Speaking to the waters,Hovering over t he waters,D,B
GenesisMCQuestions.pdf,Gn,1,3,"On the first day after God made the light, what two things did He  
separate (Gen 1:4)?",Land and the sea,The light on the earth and the light of His presence,Light and darkness,The sun and moon,C,I
GenesisMCQuestions.pdf,Gn,1,4,"The sequence of the ""day"" and ""night"" began on what day (Gen 1:5)?",First,Second,Third,Fourth,A,I
GenesisMCQuestions.pdf,Gn,1,5,"After creating the heavens and the earth, what was the first thing God  
 created (Gen 1:3)?",Water,Land,Sky,"Light  
D:I:G n:1 
 
6.  What did God call the expanse or space He made on the second day to  
separate the waters above and below (Gen 1:8)?  
 A. Sky/heaven  
 B. Oceans/seas  
 C. Outer space/stars  
 D. Clouds/Vapour",A,B
GenesisMCQuestions.pdf,Gn,1,7,"After separating the waters above and below, what happened next to the  
waters below on day 3 (Gen 1:9)?   The waters were _______",Lifted up as the land rose,Frozen under the heavens,Gathered into one place,Scattered to the ends of the earth,C,A
GenesisMCQuestions.pdf,Gn,1,8,"After the waters were fashioned into seas, what appeared on the third day  
(Gen 1:9)?",The birds and the fish,The mountains tops,The hand of the Lord,The dry land,D,A
GenesisMCQuestions.pdf,Gn,1,9,What was the land to bring forth (Gen 1:11)?,Plants and  animals,Plants and trees,Rocks and hills,Flowing brooks and rivers,B,I
GenesisMCQuestions.pdf,Gn,1,10,What were to mark the seasons and years (Gen 1:14)?,The ocean tides,The stars and heavens,The sun and moon,The plants and animals,C,A
GenesisMCQuestions.pdf,Gn,1,11,"What did the ""lesser"" light rule (Gen 1:16)?",The sky,The night,The earth,The darkness,B,I
GenesisMCQuestions.pdf,Gn,1,12,The two lights in the sky were made for what purpose (Gen 1:14)?,To bring light upon the earth,To provide direction for the earth,To aid the separation of the waters,To separate the day from the night,D,A
GenesisMCQuestions.pdf,Gn,1,13,What other animals were made on the same day as the fish (Gen 1:20)?,Land animals,Plants,Birds,Angels,C,I
GenesisMCQuestions.pdf,Gn,1,14,What blessing or comma nd did God give the fish (Gen 1:22)?,To fill the waters of the sea,To swim within the bounds of the sea,To eat the plants of the sea,To form families according to their kinds,A,A
GenesisMCQuestions.pdf,Gn,1,15,"The land animals were produced according to their _______  
(Gen 1:24)",Likeness,Image,Kinds,habitations,C,B
GenesisMCQuestions.pdf,Gn,1,16,According to what pattern was humankind built (Gen 1:26)?,The image of God,The dust of the earth,The land animals,The goodness and love,A,B
GenesisMCQuestions.pdf,Gn,1,17,"Humankind's first role in creation was described in terms of  _________  
(Gen 1:26)",Their worship of God,Their tending the garden,Their caring for the land,Their rule over the animals,D,I
GenesisMCQuestions.pdf,Gn,1,18,God's first blessing on humankind was (Gen 1:28)  _________,To hear and obey,To multiply and rule,To tend the garden and its creatures,To love one another,B,I
GenesisMCQuestions.pdf,Gn,1,19,What did God specifically give humans for food (Gen 1:29)?,Seed -bearing plants and trees,Plants and animals,Manna from heaven,The fruit from the tree of life,A,A
GenesisMCQuestions.pdf,Gn,1,20,"The beasts of the earth and birds were to share what food source with  
 humans (Gen 1:30)?",Every green plan t,The fish of the sea,Anything but eating their own kind,"The springs of water on the earth  
A:I: :Gn:1  
 
21.  The rule of humankind was specifically stated to be over all of the  
following EXCEPT (Gen 1:28)  
 A. Birds of the air  
 B. Fish of the sea  
 C. Every creature that moves on the ground  
 D. The trees of the garden",D,I
GenesisMCQuestions.pdf,Gn,1,22,"What common element, other than diet, did the birds of the air and beasts  
of the earth share with humankind (Gen 1:30)?",The image of God,The breath of lif e,The good land that God had made,They were able to move on the earth,B,I
GenesisMCQuestions.pdf,Gn,1,23,After God's creation on each day what did God do?,Saw that what He had made was good,He rested,He commanded the evening and morning to pass,He divided something,A,B
GenesisMCQuestions.pdf,Gn,2,1,What two qualities did God pronounce on the seventh day (Gen 2:2)?,He blessed it and made it holy,He pronounced it good and holy,He blessed it and pronounced it good,He made its morning holy and its evening blessed,A,A
GenesisMCQuestions.pdf,Gn,2,2,"When God originally made the earth, Gen. 2 lists all of the following as  
not being present EXCEPT (Gen 2:5f)",No man to till the ground,No shrub of the field,No streams of water,No rain from the sky,C,A
GenesisMCQuestions.pdf,Gn,2,3,God formed humankind from the __________ (Gen 2:7),Beasts of the field,Dust of the ground,Water of the sea,From the word of His mouth,B,B
GenesisMCQuestions.pdf,Gn,2,4,When did humankind become a living being/soul (Gen 2:7)?,When God shaped the human in His image,When God placed the human in the garden,When God took Eve out of Adam's side,When God breathed into the human's nostrils,D,B
GenesisMCQuestions.pdf,Gn,2,5,Where did God put the human that He had made (Gen 2:8)?,On the dry land that had appeared,On the mountain of the Lord,In the garden of Eden,Between the rivers of life,C,B
GenesisMCQuestions.pdf,Gn,2,6,"All of the following were rivers flowing from Eden EXCEPT  
(Gen 2:11ff)",Tigris,Euphrates,Pishon,Nile,D,I
GenesisMCQuestions.pdf,Gn,2,7,What was the one tree the human was commanded not to eat (Gen 2:17)?,The tree of the knowledge of good and evil,The tree of life,The tree of the nations,The tree of wisdom,A,B
GenesisMCQuestions.pdf,Gn,2,8,What two responsibilities did the human have in the garden (Gen 2:15)?,To work and care for the garden,To plant and weed the garden,To harvest and water the garden,To enjoy and worship in the garden,A,I
GenesisMCQuestions.pdf,Gn,2,9,"What did God say was the consequenc e of eating from the forbidden tree  
(Gen 2:17)?",They would be cast out of the garden,They would be cursed,They would die,The garden would perish,C,I
GenesisMCQuestions.pdf,Gn,2,10,Out of what did God make all the animals (Gen 2:19)?,Out of the sea,Out of the ground,By the word of the Lord,From the plants of the garden,B,I
GenesisMCQuestions.pdf,Gn,2,11,What did Adam give to all the living creatures (Gen 2:20)?,Food,Water,Names,Blessing,C,B
GenesisMCQuestions.pdf,Gn,2,12,"What was the first thing God pronounced ""not good"" (Gen 2:18)?",Sin,Darkness,Aloneness,Having to work the garden,C,I
GenesisMCQuestions.pdf,Gn,2,13,What part of Adam did God use to make the woman (Gen 2:21)?,Heart,Rib,Arm,Head,B,B
GenesisMCQuestions.pdf,Gn,2,14,"Why was she named ""woman"" by Adam (Gen 2:23)?",Because she was taken out of man,Because she was one with him,Because she was part of him,Because she was a help to him,A,A
GenesisMCQuestions.pdf,Gn,2,15,"All of the following are talked about in the creation account as part of  
the husband -wife bond except (Gen 2:24)",Leaving father -mother,Being united,Becoming one flesh,Having one mind,D,I
GenesisMCQuestions.pdf,Gn,2,16,What did the man and his wife not  feel initially (Gen 2:25)?,Fear,Anger,Shame,Alone,C,I
GenesisMCQuestions.pdf,Gn,3,1,"The serpent was said to be more __________ than the other creatures  
(Gen 3:1)",Tricky/deceptive,Subtle/crafty,Wise/cunning,Evil/wicked,B,I
GenesisMCQuestions.pdf,Gn,3,2,The serpent first addressed (Gen 3:1),God,The man,The woman,The animals,C,B
GenesisMCQuestions.pdf,Gn,3,3,The serpent begins his temptation by (Gen 3:1),Questioning what God had said,Questioning God's intentions for Adam and Eve,Questioning whether the tree was really evil,Asking if she wanted to be wise,A,A
GenesisMCQuestions.pdf,Gn,3,4,"What two things did Eve list to the serpent that were not to be done with  
the tree in the midst of the garden under the threat o f death?  
(Gen 3:3)",Eat and smell it,Cook and eat it,Pick and eat it,Eat and touch it,D,A
GenesisMCQuestions.pdf,Gn,3,5,The serpent told Eve that eating the fruit would (Gen 3:5),Make her like God,Give her everlasting life,Allow her to wear cloth es,Make her like Adam,A,B
GenesisMCQuestions.pdf,Gn,3,6,"What knowledge did the serpent suggest she would gain from eating the  
forbidden tree (Gen 3:5)?",Knowledge of all things,Knowledge of how the world was created,Knowledge of good and evil,Knowledge to choose whatever they wanted,C,B
GenesisMCQuestions.pdf,Gn,3,7,"Eve was enticed by the fruit of the forbidden tree in all the following  
ways EXCEPT (Gen 3:6)",Good for food,Pleasing to the eyes,Desirable to make one wise,"Smooth to the touch  
D:I:Gn: 3 
 
8.  When Adam and Eve's eyes were opened by eating the forbidden fruit  
what did they first realize (Gen 3:7)?  
 A. They were guilty  
 B. They were naked  
 C. They were going to die  
 D. They were alone",B,B
GenesisMCQuestions.pdf,Gn,3,9,How did Adam and Eve first try to make clothes (Gen 3:7)?,They killed and skinned an animal,They wove flax into a garment,They used beads and shells,They sewed fig leaves together,D,I
GenesisMCQuestions.pdf,Gn,3,10,"After they had eaten the forbidden fruit and heard God coming, what did  
Adam and Eve do (Gen 3:8)?",They agreed on what to tell God,They ran from his presence,They hid from him among the trees,They killed the serpent and brought it to  God,C,B
GenesisMCQuestions.pdf,Gn,3,11,"When God called Adam, what reason did Adam give for his hiding  
(Gen 3:10)?",Because he was sinful,Because he was afraid,Because he was ashamed,Because he was exploring outside the garden,B,I
GenesisMCQuestions.pdf,Gn,3,12,Who does Adam bl ame for his eating of the forbidden fruit (Gen 3:12)?,Eve,The serpent,God,The tree,A,I
GenesisMCQuestions.pdf,Gn,3,13,Who does Eve blame for having eaten the forbidden fruit (Gen 3:13)?,Adam,The serpent,God,The tree,B,I
GenesisMCQuestions.pdf,Gn,3,14,"All of the following were part of the curse on the serpent EXCEPT  
(Gen 3:14f)",It will crawl on its belly,It will eat dust,His head will be crushed by the woman's offspring,His back will be broken by the man's foot,D,A
GenesisMCQuestions.pdf,Gn,3,15,The curse on the woman was that she (Gen 3:16),Would not be able to have children,Would have to cook food for her husband,Would have to work and care for the garden,Would have pain in childbearing,D,B
GenesisMCQuestions.pdf,Gn,3,16,As a result of the curse the woman's desire  would (Gen 3:16),Be to her husband,Be against the serpent,Never be satisfied,Be toward the plants and animals,A,I
GenesisMCQuestions.pdf,Gn,3,17,Adam's curse extended to (Gen 3:17),The serpent,The ground,The trees,The animals,B,A
GenesisMCQuestions.pdf,Gn,3,18,"All of the following were part of the curse on Adam EXCEPT  
(Gen 3:17ff.)",The ground would produce thorns,He would eat by the sweat of his brow,He would once again be alone,He would return to the dust from which he was taken,C,I
GenesisMCQuestions.pdf,Gn,3,19,Why did Adam name his wife Eve (Gen 3:20)?,Because she was the mother of all living,Because she was the one who brought the curse,Because she was bone of his bone and flesh of his flesh,Because she took away his loneliness,A,A
GenesisMCQuestions.pdf,Gn,3,20,How did Adam/Eve receive clothes from God (Gen 3:21)?,God sewed leaves together for them,God clothed them with a cloud of glory,God made garments of skin from animals,God gave them robes to cover their shame,C,B
GenesisMCQuestions.pdf,Gn,3,21,"After the curse, God acknowledged man had indeed become like God in  
what way (Gen 3:22)?",In being able to become one with a partner,Knowing good and evil,In being free to make a moral choice,In struggling with life and death,B,I
GenesisMCQuestions.pdf,Gn,3,22,"As a result of Adam/Eve's sin, what did God stop them from doing  
(Gen 3:22)?",Eating from the tree of knowledge of good and evil,Walking east of the garden of Eden,Coming to meet God,Eating from the tree of life,D,B
GenesisMCQuestions.pdf,Gn,3,23,"What did God use to stop Adam and Eve from returning to the garden  
after they were driven out (Gen 3:24)?",A cherubim with a flaming sword,A seraphim with a flaming saber,An archangel with a shining sword,A chariot of fire armed by an angel,A,I
GenesisMCQuestions.pdf,Gn,4,1,Who was the first recorded son of Adam and Eve (Gen 4:1)?,Lamech,Abel,Cain,Seth,C,B
GenesisMCQuestions.pdf,Gn,4,2,What trade did Cain have (Gen 4:2)?,Kept flocks,Worked the soil,Played the harp and flute,Forged instruments of iron and bronze,B,I
GenesisMCQuestions.pdf,Gn,4,3,What did Abel bring as a sacrifice (Gen 4:4)?,Fruits of the soil,Fish and birds,Bullocks and cattle,Firstborn of his flocks,D,I
GenesisMCQuestions.pdf,Gn,4,4,"What initial respon se did Cain have to the Lord's not looking with  
favor on his offering (Gen 4:5)?",He was angry,He was jealous,He was defensive,He was repentant,A,I
GenesisMCQuestions.pdf,Gn,4,5,"God warned Cain that what would be crouching at his door if he did what  
was wrong (Gen 4:7)?",Anger,Jealousy,Sin,Murder,C,A
GenesisMCQuestions.pdf,Gn,4,6,Where did Cain kill Abel (Gen 4:8)?,In a city,On a mountain,In  a field,By a river,C,I
GenesisMCQuestions.pdf,Gn,4,7,"What was Cain's famous response to God's asking him where Abel was  
(Gen 4:9)?",What is that to me?,Am I my brother's keeper?,Seek him and you shall find him,Let the dead bury their dead,B,B
GenesisMCQuestions.pdf,Gn,4,8,What was the curse placed on Cain for killing his brother (Gen 4:11)?,He was driven from the ground,He was exiled never to see his family again,He was never to raise crops again,His brothers blood would stain his hands forever,A,I
GenesisMCQuestions.pdf,Gn,4,9,Part of Cain's curse was that he would be (Gen 4:12),A servant or slave to everyone he would meet,A reminder to all of violence and death,"A godless or wicked person  
 D A restless fugitive on the earth  
D:I:Gn:4  
 
10.  How did God mercifully protect Cai n from being killed by others  
(Gen 4:15)?  
 A. He drove him away from all other people  
 B. He shaved Cain's head so people would know not to harm him  
 C. He put a mark on Cain so people wouldn't kill him","He told Adam and Eve that they should not seek revenge on  
Cain",C,A
GenesisMCQuestions.pdf,Gn,4,11,Cain went to the land of Nod which was (Gen 4:16),West of Eden,East of Eden,North of Eden,South of Eden,B,A
GenesisMCQuestions.pdf,Gn,4,12,"After leaving the presence of the Lord, what was one of the first  
recorded things Cain  built (Gen 4:17)?",A boat,A tower,A musical instrument,A city,D,A
GenesisMCQuestions.pdf,Gn,4,13,Lamech was the first one recorded to have (Gen 4:19),Built a tent,Stolen from his brothers,Married more than one woman,Repented and sought the Lord,C,I
GenesisMCQuestions.pdf,Gn,4,14,Who was the first one listed as playing the harp and flute (Gen 4:21)?,Jubal,Tubal -Cain,Lamech,Zillah,A,A
GenesisMCQuestions.pdf,Gn,4,15,Who forged tools out of bronze and iron (Gen 4:22)?,Jubal,Tubal -Cain,Lamech,Zillah,B,A
GenesisMCQuestions.pdf,Gn,4,16,"""If Cain is avenged seven times, then ______ is avenged  
seventy -seven times"" (Gen 4:24)",Jubal,Tubal -Cain,Lamech,Zillah,C,I
GenesisMCQuestions.pdf,Gn,4,17,Who was born in place of Abel (Gen 4:25)?,Noah,Methuselah,Enoch,Seth,D,B
GenesisMCQuestions.pdf,Gn,4,18,"Who was the first one recorded to be the father of those who live  
 in tents and raise livestock (Gen 4:20)?",Jubal,Tubal -Cain,Lamech,Jabal,D,A
GenesisMCQuestions.pdf,Gn,5,1,Humankind was made in  (Gen 5:1),The likeness of dust,The likeness of God,The likeness of the animals,The likeness of angels,B,B
GenesisMCQuestions.pdf,Gn,5,2,Which of Adam's children was in his likeness (Gen 5:3)?,All of his children,Abel,Cain,Seth,D,I
GenesisMCQuestions.pdf,Gn,5,3,"Which of the following was NOT part of the common pattern in the  
genealogy of Gen. 5?",The person lived X years before he had children,The person X lived Y years and died,X was the father of all those that Y (trade:  play the harp etc),The person became the father of .... (names children),C,A
GenesisMCQuestions.pdf,Gn,5,4,What was unique about Enoch  (Gen 5:21)?,He played the harp,He made an altar to God,Became the father of sons and daughters,He walked with God,D,B
GenesisMCQuestions.pdf,Gn,5,5,How does Gene sis say Enoch completed his life (Gen 5:24)?,God took him,He returned to the garden of Eden,He went to heaven in a chariot of fire,He slept with this fathers,A,I
GenesisMCQuestions.pdf,Gn,5,6,Who were the first and last fathers in the genealogy in Gen. 5?,Adam and Enoch,Adam and Noah,Adam and Shem,Adam and Methuselah,B,A
GenesisMCQuestions.pdf,Gn,5,7,Who lived the longest in the Gen. 5 genealogy (969 years; Gen. 5:27)?,Enoch,Mahalalel,Seth,Methuselah,D,B
GenesisMCQuestions.pdf,Gn,5,8,"Which child in the genealogy of Gen. 5 was named in the hope that he  
would be a relief from the painful toil of working the ground  
(Gen 5:29)?",Enoch,Methuselah,Noah,Seth,C,A
GenesisMCQuestions.pdf,Gn,5,9,"Which of the fo llowing were not one of the three sons of Noah  
(Gen 5:32)?",Jared,Shem,Ham,Japheth,A,I
GenesisMCQuestions.pdf,Gn,6,1,"What circumstance was present when the trouble in Noah's day started  
(Gen 6:1)?",Humans refused to multiply on the earth,Humans began to increase in number on the earth,Humans built towers to heaven,Humans began to build gardens like E den on the earth,B,A
GenesisMCQuestions.pdf,Gn,6,2,"Who married the beautiful women that was viewed by God as  
problematic in Noah's day (Gen 6:2)?",The sons of God,The sons of Cain,The sons of the devil,The sons of the Anakim,A,B
GenesisMCQuestions.pdf,Gn,6,3,"Just prior to the fl ood, God announced that the days of humans would be  
limited to  about _______ (Gen 6:3)",70 years,100 years,120 years,200 years,C,I
GenesisMCQuestions.pdf,Gn,6,4,"The marriages of Noah's day produced children that were known as  
(Gen 6:4)",Anakim of two rivers,Gods of the heavens and earth,Cainites wandering to and fro,Heroes of the legends of old,D,I
GenesisMCQuestions.pdf,Gn,6,5,"What was God's emotional response to s eeing human's wickedness and  
hearts inclined to evil in Noah's day (Gen 6:6)?",He was angry,He grieved,He felt alone,He was curious,B,I
