book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Hosea,Hs,1,1,Who’s son was Hosea (Hos 1:1)?,Nehelami,Jezreel,Beeri,Netophah,C,A
Hosea,Hs,1,2,What came to Hosea son of Beeri  (Hos 1:1) ?,A vision from the Almighty,The word of the Lord,A dream of Israel’s future,The voice of the Lord,B,B
Hosea,Hs,1,3,All of the following were kings of Judah during Hosea’s time EXCEPT (Hos 1 :1)?,Uzziah,Manasseh,Jotham,"Ahaz  
 E. Hezekiah  
2",B,A
Hosea,Hs,1,4,Who was the king of Israel during Hosea’s time (Hos 1:1)?,Jehu,Basha,Jeroboam,Ahab,C,I
Hosea,Hs,1,5,What was the first things the Lord commanded Hosea to do (Hos 1:2)?,Preach against Jerusalem,Strike his staff on the gate three times,Tell Uzziah he needed to repent,Take an adulterous wife,D,B
Hosea,Hs,1,6,Why was Hosea to marry an adulterous wife (Hos 1:2)?,Because the land was adulterous depart ing from the Lord,Because Israel had rejected the Lord and wanted to go back to Egypt,Because the priests were adulterating the sacrifices,Because the temple of God’s presence had been defiled by the kings,A,B
Hosea,Hs,1,7,Who did Hosea marry at th e Lord’s command (Hos 1:3)?,Rachel,Deborah,Gomer,"Tamar  
3",C,B
Hosea,Hs,1,8,Gomer was the daugther of ________ (Hos 1:3),Beeri,Diblaim,Shamayim,Elishama,B,A
Hosea,Hs,1,9,What was the name of Hosea’s first son (Hos 1:4)?,Lo-ruhamah,Lo-Ammi,Ichabod,Jezreel,D,B
Hosea,Hs,1,10,Who did Jezreel’s name represent a judgment on (Hos 1:4)?,The house of Jehu,The house of Ahab,The house of Jeroboam,The house Pekah,A,B
Hosea,Hs,1,11,Why was the house of Jehu king of Israel being judged (Hos 1:4)?,Because of his idol worship,Because of the massacre he did,Because of his oppression of the poor,"Because he turned to the king of Aram  
4",B,B
Hosea,Hs,1,12,What would God do to Israel in the Valley of Jezreel (Hos 1:5)?,Shattered the chariots of Israel,Crush their arrows,Break Israel’s bow,Cause a drought in their land,C,I
Hosea,Hs,1,13,Where would Israel’s bow be broken by God (Hos 1:5)?,Mount Gilboa,Mount Tabor,Well of Shechem,Valley of Jezreel,D,B
Hosea,Hs,1,14,What was Gomer’s first daughter named (Hos 1:6)?,Lo-Ammi,Maharah,Lo-Ruhamah,Lo-hesed,C,B
Hosea,Hs,1,15,"What did Lo -Ruhamah’s name, Gomer’s first daughter, symbolize (Hos 1:6)?",God would no long er show Israel love,God would judge Israel for not having compassion on the poor,God would lead Israel into a foreign land,"God would send a drought on the land  
5",A,B
Hosea,Hs,1,16,How would God show the house of Judah love (Hos 1:7)?,Saving them with bow and battle,Delivering them by the hand of their king,Saving them by the Lord their God,Saving them by the sword of Hosea,C,B
Hosea,Hs,1,17,"God said he was save Judah but not by any of the following means EXCEPT (Hos 
1:7)",The swor d,The bow,The javilin,Horses,C,A
Hosea,Hs,1,18,When did Gomer have her second son (Hos 1:8)?,After she had repented and returned to Hosea,After she had weaned Lo -Ruhamah,After she had burned Jezreel as a sacrifice,After she sacrifi ced to Baal,B,I
Hosea,Hs,1,19,What did the name of Gomer’s second son Lo -Ammi mean (Hos 1:9)?,No loved,No glory,"My bitterness  
6",No my people,D,B
Hosea,Hs,1,20,What did God say the Israelites would be like that could not be numbered (Hos 1:10)?,The the sand on the seashore,Like the birds of the air,Like the stars of the heavens,Like the rocks of the desert,A,I
