book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Job,Jb,1,18,"Job Multiple Choice Questions  [Based o n NIV]  
By Ted Hildebrandt  
biblicalelearning.org [BeL]  
 
                                                  Chapter 1  
1. What land was Job from (Job 1:1)?",The land of Moab,The land of Kikar,The land of Uz,The land of Gomer,C,B
Job,Jb,1,2,All of the following are said of Job EXCEPT (Job 1:1),Upright,Blameless,Shunned evil,Righteous,D,B
Job,Jb,1,3,All of the following are said of Job EXCEPT (Job 1:1),Upright,Feared God,Wise,Shunned evil,C,B
Job,Jb,1,4,How many sons did Job originally have (Job 1:2)?,Five,Seven,"Ten 
2",Twelve,B,I
Job,Jb,1,5,How many daughters did Job originally have (Job 1:2)?,Three,Five,Seven,Twelve,A,I
Job,Jb,1,6,How many sheep did Job originally have (Job 1:3)?,One thousand,Seven thousand,Ten thousand,Twelve thousand,B,A
Job,Jb,1,7,How many camels did Job originally have (Job 1:3)?,One thousand,Two thousand,Three thousand,"Seven thousand  
C:A: Jb:1 
8. How many yoke of oxen did Job originally have (Job 1:3)?  
  A. One hundred  
 B. Three hundred  
 C. Four hundred  
 D. Five hundred",D,A
Job,Jb,1,9,"How many donkeys did Job originally have (Job 1:3)?  
3",One hundred,Three hundred,Five hundred,One thousand,C,A
Job,Jb,1,10,Of what people was Job said to be the greatest (Job 1:3)?,The people of the North,The people of the East,The people of the South,The people of the West,B,B
Job,Jb,1,11,Who would Job's sons invite to each and drink with them on their birthdays (Job 1:4)?,Their sisters,The whole town,Job's whole household,The whole region of Uz,A,I
Job,Jb,1,12,When did Job's sons hold feasts (Job 1:4)?,On Job's birthday,On their birthdays,On their sisters' birthdays,At the time of harvest,B,B
Job,Jb,1,13,"What arrangements would Job make for his children after their feasting had ended 
(Job 1:5)?",For them to pray,"For them to fast  
4",For them to be purified,For them to sacrifice,C,B
Job,Jb,1,14,Wha t kind of offering would Job sacrifice for his children (Job 1:5)?,A sin offering,A cereal offering,A trespass offering,A burnt offering,D,A
Job,Jb,1,15,What would Job do early in the morning (Job 1:5)?,Pray to God,Wash his hands and feet,Offering a burnt offering for his children,Offering a sin offering for his friends,C,B
Job,Jb,1,16,Why did Job offer a burnt offering for his children (Job 1:5)?,Because the Lord had commanded it,In case they had sinned,To cleanse them before the Lord,To purify their hearts,B,B
Job,Jb,1,17,"In the heavenly scene, who presented themselves before the Lord (Job 1:6)?",The angels,The heavenly hosts,The cherubim,The seraphim,A,B
Job,Jb,1,18,Who came along with th e angels to present themselves before the Lord (Job 1:6)?,Job,Satan,The sons of men,Gabriel,B,B
Job,Jb,1,19,"What did God ask S atan/the challenger when he presented himself before the Lord 
(Job 1:7)?",Why have you come here?,How long must I allow you to come here?,Where have you come from?,How did you get in here?,C,B
Job,Jb,1,20,Where had Satan/the challenger come from (Job 1:7)?,From the shades of Sheol,From the land of darkness,From the stars of heaven,From roaming throughout the earth,D,B
Job,Jb,1,21,Who did the Lord ask Satan/the challenger if he had considered (Job 1:8)?,My king Job,My spokesman Job,My servant Job,My friend Job,C,B
Job,Jb,1,22,The Lord described Job as all of the following  EXCEPT (Job 1:8)?,"Blameless  
6",Righteous,One who fears God,One who shuns evil,B,B
Job,Jb,1,23,How does Satan/the challenger respond to the Lord's comments about Job (Job 1:9)?,Does Job fear God for nothing?,Is Job truly righteous?,Is Job as blameless as many think?,"Is Job more godly than his friends?  
 A:B:Jb:1  
24. What does Satan/the challenger say God has done for Job (Job 1:10)?  
  A. Given him prosperity  
 B. Put a hedge around him  
 C. Trusted him above all the others  
 D.  Taught Job wisdom",B,I
Job,Jb,1,25,What does Satan/the challenger say God has done for Job (Job 1:10)?,Given him prosperity,Trusted him above all the others,Blessed the work of his hands,Taught Job wisdom,C,I
Job,Jb,1,26,What are spread out thro ughout the land (Job 1:10)?,Job's camels and donkeys,Job's children,Job's houses and crops,"Job's flocks and herds  
7",D,A
Job,Jb,1,27,"What does Satan/the challenger say Job will do if God strikes everything he has (Job 
1:11)?",He will becom e wicked,He will give up this integrity,He will curse God to his face,He will prefer darkness over light,C,B
Job,Jb,1,28,"Initially what did Satan/the challenger say would get Job to curse God to his face (Job 
1:11)?","Destroy him by disease, f amine and plague",Strike everything he has,Destroy his family,Take away all God's blessings,B,B
Job,Jb,1,29,What initial boundary did God put on Satan/the challenger's attack on Job (Job 1:12)?,Not to lay a finger on Job himself,Not to touch Job's wife,Not to take away his integrity,Not to harm his children,A,B
Job,Jb,1,30,"After being given power over everything Job had what did Satan/the challenger do 
(Job 1:12)?",He rejoiced before the Lord,He went out from the presence o f the Lord,He rode the clouds to the land of Uz,He gathered his forces to attack Job,B,B
Job,Jb,1,31,What were Job's children doing at the oldest brother's house (Job 1:13)?,Cursing God,Mocking the heavens,Feasting and drinking wine,Dancing and reveling,C,B
Job,Jb,1,32,Where were Job's sons and daughters when the disasters began to strike (Job 1:13)?,In the land of Uz,At Teman,At Job's home,At the oldest brother's house,D,I
Job,Jb,1,33,What was the first disaster annou nced to Job (Job 1:14)?,The death of his children,The Chaldeans making off with his camels,The Sabeans attacking Job's oxen and donkeys,The fire of God fell burning up his sheep and servants,C,A
Job,Jb,1,34,Who attacked Job's oxen and donkeys (Job 1:15)?,The Edomites,The Sabeans,The Philistines,The Chaldeans,B,A
Job,Jb,1,35,Who attacked Job's camels (Job 1:17)?,The Chaldeans,"The Edomites  
9",The Sabeans,The Philistines,A,A
Job,Jb,1,36,How do the messengers of doo m end their telling Job of the disasters (Job 1:15)?,They destroyed all you have,I am the only one who has escaped to tell you,They had no mercy,I escaped by the skin of my teeth,B,B
Job,Jb,1,37,"Besides the animals who/what also perished wi th each disastrous blow against Job 
(Job 1:15 -17)?",His servants were scattered,His fields were burned,His servants died,One of his children died,C,I
Job,Jb,1,38,How did Job's sheep perish (Job 1:16)?,The Sabeans ran off with them,The Chaldeans put them to the sword,The shepherds were killed and they ran off a cliff,Fire of God fell heaven and burned them,D,I
Job,Jb,1,39,"What did both the Sabeans and Chaldeans do that was similar against Job (Job 1: 15, 
17)?",They offered up sacrifices from Job's animals,They carried off Job's children,"They put Job's servants to the sword  
10",They burned down Job's houses,C,I
Job,Jb,1,40,"How are each of the disasters on Job begun (Job 1:16, 17, 18)?",While the fires were still burning,While the messenger was still speaking,Once upon a time,When he began to weep,B,B
Job,Jb,1,41,What killed Job's children (Job 1:18)?,A mighty wind from the desert,Lightning from heaven,The fire  of God fell from heaven on them,The Chaldeans attacked them,A,I
Job,Jb,1,42,What actually killed Job's children (Job 1:18)?,They were burned with fire,The house collapsed on them,The swords of the Chaldeans,The fire of God,B,B
Job,Jb,1,43,After hearing of all four initial disasters how did Job respond (Job 1:20)?,He cursed God,He cursed the day of his birth,He tore his robe and shaved his head,He put dust on his head,C,B
Job,Jb,1,44,"After hearing of all four initial disast ers how did Job respond (Job 1:20)?  
11",He cursed God,He cursed the day of his birth,He put dust on his head,He fell to the ground in worship,D,B
Job,Jb,1,45,What did Job say about the Lord after the first four initial disasters (Job 1:22)?,"The Lord is great, the Lord is good",Who has known the mind of the Lord,The Lord gave and the Lord has taken away,For the Lord's love endures forever,C,B
Job,Jb,1,46,What did Job say about the Lord after the first four initial disasters (Job 1:22 )?,"The Lord is great, the Lord is good",May the name of the Lord be praised,Who has known the mind of the Lord,For the Lord's love endures forever,B,B
Job,Jb,1,47,What did Job say about himself after the first four initial disasters (Job 1:2 2)?,Naked I came from my mother's womb,In sin my mother conceived me,There is no one righteous no not one,How can a man be pure in the sight of God,A,B
Job,Jb,1,48,What did Job say about himself after the first four initial disasters (Job 1:22)?,In sin my mother conceived me,Naked I will depart,"There is no one righteous no not one  
12",How can a man be pure in the sight of God,B,B
Job,Jb,1,49,What did Job not do after the first four disasters struck (Job 1:23)?,Curse God and wish to die,Defend himself to the face of the Lord,Sin by charging God with wrongdoing,Turn his back on the Lord who made him,C,B
Job,Jb,2,1,Who came with the angels to be presented before the Lord (Job 2:1)?,Gabriel,Satan,Leviathan,The kings of the earth,B,B
Job,Jb,2,2,"What opening question does the Lord ask Satan/the challenger in his second 
appearance in the heavenly council (Job 2:2)?",Where have you come from?,Where are you going?,Why have you come here?,What have you been doing on the earth?,A,B
Job,Jb,2,3,"How did Satan/the challenger respond to the Lord's question asking him where he 
came from (Job 2:2)?",The region of Uz,Roaming throughout the earth,The mountains of the holy land,The heights and depths of the earth,B,B
Job,Jb,2,4,What does the Lord ask Satan/the challenger if he has considered (Job 2:3)?,Who is the most righteous on the earth,The wisest of all,His servant Job,The greate st upon the earth,C,B
Job,Jb,2,5,"After Satan's initial attacks, the Lord describes Job to Satan/the challenger in all of the 
following ways EXCEPT",Blameless,Upright,One who fears God,Righteous,D,B
Job,Jb,2,6,"With what does the Lord couple that Job ""fears God"" (Job 2:3)?",That he strives for righteousness,That he is wise,That he shuns evil,That he is faithful,C,B
Job,Jb,2,7,What did the Lord say Job maintained after Satan takes all that he has (Job 2:3)?,His righteousness,His integrity,His faithfulness,His wisdom,B,B
Job,Jb,2,8,The Lord says that Satan had incited him to ruin Job in what manner (Job 2:3)?,Without any reason,Completely,With no compassion,With his family,A,B
Job,Jb,2,9,What does the Lord say that Satan/the challenger had influenced God (Job 2:3)?,"To curse Job  
15",To incite him against Job,To harm Job,To bring judgment on Job,B,B
Job,Jb,2,10,What does Satan/the challenger say a man will give everything he has for (Job 2:4)?,His family,His pride,His life,His integrity,C,B
Job,Jb,2,11,"What does Satan/the challenger say will happen if Job's flesh and bones are struck 
(Job 2:5)?",He will forsake his faithfulness,He will renounce righteousness,He will d eny the fear of God,He will curse God to his face,D,B
Job,Jb,2,12,"What does Satan/the challenger say will get Job to curse God to his face in the second 
round of attacks (Job 2:5)?",Take his wife and children,Destroy this prosperity,Strike his flesh and bones,Sickness and disease,C,B
Job,Jb,2,13,What does Satan say a man will give for his own life (Job 2:4)?,The hair on his head,"Skin for skin  
16",Blamelessness and uprightness,His righteousne ss,B,B
Job,Jb,2,14,What boundary did the Lord set on Satan's second attack of Job (Job 2:6)?,He must not take his life,He must not take his wife,He must not destroy his comforters,He must not force him to reject God,A,B
Job,Jb,2,15,What did Sa tan leave after being allowed to harm Job (Job 2:7)?,He left the courts of heaven,He went out from the presence of the Lord,He returned down to earth and the land of Uz,He left the clouds and descended to the earth,B,B
Job,Jb,2,16,How did Sat an/the challenger afflict Job (Job 2:7)?,With headaches,With pain,With sores,With disease,C,B
Job,Jb,2,17,To what extent are the sores Job was struck with described (Job 2:7)?,From head to toe,From his left hand to his right hand,From morning until night,From the sole of his feet to the crown of his head,D,I
Job,Jb,2,18,When Job was covered with sores where did he end up going (Job 2:8)?,Walked aimlessly in the desert,To seek his friends,Sat on among the a shes,Rolled in the dust,C,B
Job,Jb,2,19,What did Job do after he was struck with sores (Job 2:8)?,He scraped himself with the bark of a tree,He scraped himself with broken pottery,He scraped himself with a sharp flint stone,He rubbed hi mself with sackcloth,B,B
Job,Jb,2,20,Where was Job sitting after Satan/the challenger struck him with sores (Job 2:8)?,Among the ashes,In the dust,Among the trees,On the ground,A,I
Job,Jb,2,21,What did Job's wife accuse him of maintaining (Job 2:9)?,His uprightness,His integrity,His blamelessness,His sanity,B,B
Job,Jb,2,22,What does Job's wife advise him to do (Job 2:9)?,Praise God,"Sit in silence  
18",Curse God,Lament before the Lord,C,B
Job,Jb,2,23,What does Job accuse his wife of talking like (Job 2:10)?,A worthless counsellor,A wicked woman,A evil woman,A foolish woman,D,B
Job,Jb,2,24,How does Job respond to his wife's encouragement to curse God and die (Job 2:10)?,Naked I came from my mothe r's womb and naked I will depart,The Lord has given and the Lord has taken away,Shall we accept good from God and not trouble?,Who can understand the ways of the Lord?,C,B
Job,Jb,2,25,"After Job addresses his wife's ""counsel"" what does the narrat or conclude about Job 
(Job 2:10)?",He was blameless and upright,He did not sin in what he said,He feared God and shunned evil,He was righteous and holy,B,B
