book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
2Kings,2K,1,1,Who rebelled after the death of Ahab (2 Kgs 1:1)?,Edom,Aram,Ammon,Moab,D,I
2Kings,2K,1,2,How had Ahaziah injured himself (2 Kgs 1:2)?,He had been struck by an arrow,He had fallen through the lattice of his upper room,He had fallen off the city gate when his troops entered the city,His foot had been run over by a cha riot entering the city,B,B
2Kings,2K,1,3,Who did Ahaziah consult with to see if he would recover from his injury (2 Kgs 1:2)?,Marduk,Chemosh,Baal-Zebub,"Moloch  
C:B:2K1  
2 
 
4. Baal -Zebub was the god of what city (2 Kgs 1:2)?  
 A. Ekron  
 B. Dibon  
  C. Babylon  
 D. Damascus",A,I
2Kings,2K,1,5,"Who asked Ahaziah “Is there no God in Israel that you consult with Baal -Zebub…” (2 
Kgs 1:3)?",Elishah,Elijah,Nathan,Gad,B,B
2Kings,2K,1,6,"How was told Elijah to go and confront Ahaziah over consulting with Baal-Zebub 
about his injury (2 Kgs 1:3)?",By a dream,By a vision,By the angel of the Lord,By the voice of God,C,I
2Kings,2K,1,7,What was the message from God to Ahaziah about his injury (2 Kgs 1:4)?,He would recover in 3 days,He would neve r be able to walk again,He would recover but be killed by one of his servants,"He would not leave his bed but die from his injury  
3",D,B
2Kings,2K,1,8,King Ahaziah was king of what city (2 Kgs 1:3)?,Samaria,Jerusalem,Shechem,"Beth Shan  
A:B:2K :1 
9. How did Ahaziah’s messengers describe Elijah (2 Kgs 1:8)?  
 A. He had long hair and was unshaved  
 B. He had a garment of hair and a leather belt  
  C.  He wore a white robe and had white hair  
 D. He looked like a crazy man with dust on his head",B,I
2Kings,2K,1,10,When introducing Elijah he is called Elijah the ______ (2 Kgs 1:3)?,The Tishbite,The Harodite,The Netophathite,Benjamite,A,B
2Kings,2K,1,11,How did the captain that Ahaziah sent to Elijah address Elijah (2 Kgs 1:9)?,Prophet of t he most High,Seer of God,Man of God,"Prophet  
4",C,I
2Kings,2K,1,12,How did Elijah respond to the captain and his men sent from Ahaziah (2 Kgs 1:10)?,He ordered the ground to open up and swallow them down,He called for  them to be blinded until the  Sabbath,He called for snakes to bite them,He called for fire to come down from heaven and consume them,D,B
2Kings,2K,1,13,How many men did the captain sent by Ahaziah to Elijah have with him (2 Kgs 1:9)?,10,30,50,100,C,A
2Kings,2K,1,14,"How did the third captain sent from Ahaziah to Elijah differ from the two before him 
(2 Kgs 1:13)?",He tore his clothes and threw dust on his head,He pleaded for his life and the lives of his men,He kneeled before Elijah and addressed him as “ma n of God”,He brought with him shields and spears,B,B
2Kings,2K,1,15,"With the third captain sent from Ahaziah what did the angel of the Lord tell Elijah to 
do (2 Kgs 1:15)?",Go with him and do not be afraid,Have Ahaziah come before Elijah,"Tell the captain the message of the Lord  
5",Go with him but only to the city gate,A,B
2Kings,2K,1,16,What did Elijah tell Ahaziah when he went to see him (2 Kgs 1:16)?,He would be healed in three days,He would be killed by his own servants,He would  never leave his bed but certainly die,He would be paralyzed until his death,C,B
