book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
LeviticusMCQuestions.pdf,Lv,1,1,"From where did the LORD speak to Moses, when instructing him on  
 how the offerings were to be made (Lev 1:1)?",From Mount Horeb,From the heaven,From the Tent of Meeting,From a burning bush,C,B
LeviticusMCQuestions.pdf,Lv,1,2,"If one were offering a burnt offering from the herds or flocks, what were  
 two basic requirements (Lev 1:3)?",Male and without defect,One year old and without defec t,Anointed with oil and without defect,One year old and solid color,A,B
LeviticusMCQuestions.pdf,Lv,1,3,"For the burnt offering, the giver was to bring the animal and",Sprinkle water on the head of the animal,Confess his sins over the animal,Anoint the animal 's head with oil,Lay his hands on the head of the animal,D,I
LeviticusMCQuestions.pdf,Lv,1,4,"All of the following animals were allowed to be burnt offerings EXCEPT  
 (Lev 1:5,10, 14)?",Young bull from the herd,Donkey from the herd,Male goat from the flock,"Male sheep from the flock  
 E. Dove or pigeon",B,I
LeviticusMCQuestions.pdf,Lv,1,5,The flocks contained what types of animals (Lev 1:10),Sheep alone,Cows and donkeys,Sheep and goats,"Sheep, goats and cattle",C,B
LeviticusMCQuestions.pdf,Lv,1,6,"In the burnt offering, where was the blood  of the animal to be sprinkled  
 (Lev 1:5)?",On the garments of the priests,On the ground inside the tabernacle,On the incense altar in front of the ark of the Testimony,On the sides of the bronze altar,D,I
LeviticusMCQuestions.pdf,Lv,1,7,"Who was to arrange the pieces of the animals from the burnt offering on  
 the altar (Lev 1:8)?","Aaron, the high priest",Aaron and his sons,"Aaron's sons, the priests","Moses, Aaron and Aaron's sons",C,B
LeviticusMCQuestions.pdf,Lv,1,8,"In the burnt offering, how much of the animal was to be burned up  
(Lev 1:9)?",The meat and the fatty parts only,All of it,The meat parts only,The fatty parts and the inner parts only,B,B
LeviticusMCQuestions.pdf,Lv,1,9,"What did the burnt offering do for the  person who presented it?   
(Lev 1:4)?  It  _________  him.",Made atonement for,Reconciled,Sanctified,Redeemed,A,I
LeviticusMCQuestions.pdf,Lv,1,10,The one bringing the burnt offering was to,Slaughter the animal only,Slaughter the animal and cut it into pieces only,"Slaughter, skin, cut it into pieces and wash its inner parts",Present it to the priests and they would slaughter it,C,A
LeviticusMCQuestions.pdf,Lv,1,11,"What two parts of the burnt offering were to be washed by water  
(Lev 1:9)?",Inner parts and the legs,All the pieces burnt on the altar,The head and hide,The fatty portions,A,A
LeviticusMCQuestions.pdf,Lv,1,12,"What two parts of the animal are explicitly listed at being burnt  
 on the altar in the burnt offering along with the pieces of meat  
(Lev 1:8, 12)?",Fat and inner parts,Legs and ribs,Skin and inner parts,Head and fat,D,A
LeviticusMCQuestions.pdf,Lv,1,13,"After sprinkling the blood, what was the priests' other main  
responsibility in the burnt offering (Lev 1:8)?",Reading the law to the people,Taking  the blood into the holy of holies,Arranging the pieces on the altar,Checking if the animal was without defect,C,I
LeviticusMCQuestions.pdf,Lv,1,14,"On what side of the altar were the burnt offerings from the  
 flocks (sheep/goats) to be slaughtered (Lev 1:11)?",North,South,East,West,A,A
LeviticusMCQuestions.pdf,Lv,1,15,"""It is a burnt offering, an offering made by fire, a(n) ________  
 pleasing to the LORD."" (Lev 1:9, 13, 17)",Offering,Aroma,Atonement,Sacrifice,B,B
LeviticusMCQuestions.pdf,Lv,1,16,"What two types of birds were to be offered as a burnt offering  
(Lev 1:14)?",Dove and raven,Dove and sparrow,Dove and pigeon,Pigeon and hawk,C,B
LeviticusMCQuestions.pdf,Lv,1,17,"The crop of the birds for the burnt offering were to be put with the  
 ashes on  the _______ side of the altar (Lev 1:16)?",North,South,East,West,C,A
LeviticusMCQuestions.pdf,Lv,1,18,"When one presented a bird for a burnt offering what did the priest   
do before burning it (Lev 1:15)?",Wring its head and drain the blood,Slaughter the bird with a knife and drain the blood,Breaking its neck on the horns of the altar,Drain its blood and confess the sins of the people,A,A
LeviticusMCQuestions.pdf,Lv,2,1,The grain offering was to be made of (Lev 2: 1),Fresh grains of wheat and barley,Stalks of grain,Fine flour,Unbaked bread,C,B
LeviticusMCQuestions.pdf,Lv,2,2,What two substances were to be added to the grain offering (Lev 2:1)?,Oil and incense,Oil and cinnamon,Oil and sugar,Incense and hon ey,A,B
LeviticusMCQuestions.pdf,Lv,2,3,"What two substances were not to be added to a grain offering (Lev 
2:11)?",Yeast and salt,Yeast and honey,Yeast and incense,Yeast and oil,B,I
LeviticusMCQuestions.pdf,Lv,2,4,How much of the grain offering was burned on the altar (Lev 2:2)?,A spoonful,A handful,A omer (2 liters),An ephah,B,A
LeviticusMCQuestions.pdf,Lv,2,5,"The part of the grain offering that was not burned on the altar belonged  
 to whom (Lev 2:3)?",The poor,The Levites,Moses and the elders,Aaron and his sons,D,I
LeviticusMCQuestions.pdf,Lv,2,6,What three ways could the regular grain offering be cooked (Lev 2:4f)?,"Over a fire, in an oven, on a grill","In a pan, on a grill, in an oven","In an oven, on a griddle, in a pan","Over a fire, in a pan, in a jar",C,A
LeviticusMCQuestions.pdf,Lv,2,7,"If a grain off ering was made in an oven, it could be formed into  
(Lev 2:4)",Loaves,Wafers,Crumbs,Chips,B,A
LeviticusMCQuestions.pdf,Lv,2,8,"After the grain offering was presented to the priest, where did the priest  
take it (Lev 2:8)?",To the altar,To the Tent of Meeting,Home,To the tabernacle table,A,I
LeviticusMCQuestions.pdf,Lv,2,9,"What type of grain offering was not to be offered on the altar  
(Lev 2:12)?",The sabbath harvest,The baked grain offering,The firstfruits,The barley offering,C,A
LeviticusMCQuestions.pdf,Lv,2,10,All grai n offerings were to be seasoned with (Lev 2:13),Anise,Cinnamon,Myrrh,Salt,D,I
LeviticusMCQuestions.pdf,Lv,2,11,"If the grain offering was of the firstfruits, it could be (Lev 2:14)",Baked,Roasted in the fire,Cooked on the altar,Fried in a pan,B,A
LeviticusMCQuestions.pdf,Lv,2,12,"If the grain offering was of the firstfruits it was not to be fine flour  
 but (Lev 2:14)",Crushed heads of new grain,Grain with the stalks,Only to be baked into bread,Whole grains never crushed or ground,A,A
LeviticusMCQuestions.pdf,Lv,2,13,"The g rain offering was said to be an offering ""made to the LORD  
 by  _________"" (Lev 2:16)",Israel,Priests,Fire,his holiness,C,I
LeviticusMCQuestions.pdf,Lv,3,1,"For the fellowship offering, all of the following were possibilit ies of  
 the categories of animals that could be utilized EXCEPT  
(Lev 3:1, 6, 12)?",Herds,Flocks,Goat,Birds,D,I
LeviticusMCQuestions.pdf,Lv,3,2,A fellowship offering animal was to be _________ (Lev 3:1),Without defect,Male,One year old,The firstborn,A,B
LeviticusMCQuestions.pdf,Lv,3,3,"In the fellowship offering, before slaying the animal, what was the  
presenter to do (Lev 3:2)?",Confess his sins over the animal,Tie the animal to the post by the altar,Lay his hands on the head of the animal,Let th e priest inspect the animal,C,B
LeviticusMCQuestions.pdf,Lv,3,4,"Where was the presenter to slay the fellowship offering before it was  
given to the priest (Lev 3:2)?",Outside the camp,At the entrance of the Tent of Meeting,On the south side of the altar of burnt of fering,On the horns of the altar of burnt offering,B,A
LeviticusMCQuestions.pdf,Lv,3,5,The priests were whose sons (Lev 3:2)?,Moses',Jethro's,Aaron's,Levi's,C,B
LeviticusMCQuestions.pdf,Lv,3,6,"In the fellowship offering, where was the priest to sprinkle the blood  
(Lev 3:2)?",On the horns of the altar,On the sides of the altar,On the base of the altar,On the right ear of the presenter,B,A
LeviticusMCQuestions.pdf,Lv,3,7,"In the fellowship offering, what specific parts of the animal were to be  
 burned on the altar of burnt offer ing (Lev 3:3)?","All the fat that covers the inner parts, kineys and liver",All the animal was to be burned up,The head and flesh were to be burned up,Only the meat with no fat on it,A,A
