book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Nehemiah,NE,1,1,"The book of Nehemiah was the words of Nehemiah who was the son of ________ 
(Neh 1:1)?",Kislev,Nisan,Jozdak,Hacaliah,D,A
Nehemiah,NE,1,2,"Where was Nehemiah when he was informed about the remnant of the exiles and 
Jerusalem (Neh 1:1)",On the wall of Babylon,In the citadel of Susa,In the palace of Nineveh,At the spring outside Mari,B,B
Nehemiah,NE,1,3,"What month was it when Nehemiah was informed about the remnant of the exiles and 
Jerusalem (Neh 1:1)?",Kislev,Nisan,"Shevat  
2",Elul,A,A
Nehemiah,NE,1,4,Who initially brought Nehemiah word about Jerusalem (Neh 1:2)?,"Shelemia h, the son of Jozadak the priest","Mattaniah, one of his cousins","Hanani, one of his brothers",Shecaniah son of Jehiel,C,B
Nehemiah,NE,1,5,Besides Jerusalem what did Hanani inform Nehemiah about (Neh 1:2)?,The temple,The Gihon spring had been stopped up,The exiles had been attacked by their enemies,The remnant who survived the exile,D,B
Nehemiah,NE,1,6,Why were the exiles in great trouble and disgrace (Neh 1:3)?,The walls of Jerusalem were broken down,The temple had been burned t o the ground,The people were worshipping the gods of the land,Moab ruled over Judah,A,B
Nehemiah,NE,1,7,"What did Hanani tell Nehemiah was destroyed in Jerusalem besides the walls (Neh 
1:3)?",The temple had been destroyed,"The trees where cut down  
3",The gates were burned,The palace was demolished,C,I
Nehemiah,NE,1,8,"When Nehemiah heard that the walls of Jerusalem had been broken down his response 
was all of the following EXCEPT (Neh 1:4)?",He wept,He fasted,He prayed,He tore his robe,D,B
Nehemiah,NE,1,9,"In his initial prayer Nehemiah address ed God in all of the following ways EXCEPT 
(Neh 1:5)?",God of our fathers,God of heaven,The great and awesome God,O LORD,A,I
Nehemiah,NE,1,10,"In Nehemiah’s initial prayer he says, what does God keep with those who obey his 
commands (Neh 1:5)?",Justice and mercy,His covenant of love,His word,His promises to Abraham,B,B
Nehemiah,NE,1,11,"With whom does God keep his covenant of love (Neh 1:5)?  
4",The children of Abraham,Those w ho do not go after other gods,Those who love him and keep his commands,Those who believe in him,C,B
Nehemiah,NE,1,12,In his initial prayer Nehemiah identifies the people of Israel as _________ (Neh 1:6),The children of Abraham,The people of God,People of the way,God’s servants,D,I
Nehemiah,NE,1,13,What did Nehemiah pray would be open to hear his prayer (Neh 1:6)?,God’s eyes,God’s ears,The heavens,The doors of heaven,A,I
Nehemiah,NE,1,14,Besides his own sins and the Israelites whose sins did Nehemiah confess (Neh 1:6)?,The sins of the remnant of the exiles,The sins of his father’s house,"The sins of Abraham, Isaac and Jacob",The sins of those dwelling in Susa,B,I
Nehemiah,NE,1,15,"In Nehemiah’s initial prayer what did he confess (Neh 1:6)?  
5",The rebellion of the Israelites at Susa,Sins of the kings of Israel and Judah,His sins  and the sins of his father’s house,He did not know what to do,C,B
Nehemiah,NE,1,16,"To whom does Nehemiah identify as the one to whom God gav e his commands (Neh 
1:7)?",Your servants the prophets,To David and his descendants,To Samuel,Your servant Moses,D,B
Nehemiah,NE,1,17,"In the instruction God gave to Moses what did it say would happen if Israel was 
unfaithful (Neh 1:8)?",They w ould be scattered among the nations,They would suffer the plagues of Egypt,Their walls would be broken down and their cities burned,Their children would be killed,A,B
Nehemiah,NE,1,18,One what condition would God regarter his exiled people (Neh 1:9)?,If they confessed their sins,If they rebuilt the temple and walls of Jerusalem,If they returned to God and obeyed his commands,If they put away their foreign gods and followed God alone,C,B
Nehemiah,NE,1,19,"What would God do if those exiled among the nations returned to God and obeyed his 
commands (Neh 1:9)?",He would forgive their sin,He would rebuild the walls of Jerusalem and fortify its gates,He would never again drive them from the land of their fathers,He would gather them to the place he chose as a dwelling for his Name,D,B
