book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
NumbersMCQuestions.pdf,Nm,1,1,"After they came out of Egypt , when did the LORD order the census of  
Israel (Num 1:1)?",First day of the second month of the second year,First day of the first month of the first year,First day of the first month of the second year,First day of the second month of th e third year,A,I
NumbersMCQuestions.pdf,Nm,1,2,"How old did the men who were counted in the census have to be  
 (Num 1:3)?",Eighteen,Twenty,Twenty -one,Thirty,B,B
NumbersMCQuestions.pdf,Nm,1,3,Who were to help Moses and Aaron take the census (Num 1:4)?,One person from each famil y,One person from each tent,One person from each tribe,"Joshua, Hur and Aaron's sons",C,I
NumbersMCQuestions.pdf,Nm,1,4,In the census each person was listed (Num 1:18),By where they lived in Goshen,Whether they were part Egyptian or not,By family and trade,By family and name,D,B
NumbersMCQuestions.pdf,Nm,1,5,"Approximately how many men did each of the tribes have in the  
Numbers census (Num 1:21, 23, 25)?  Ball park figure","5,000 -10,000","10,000 -20,000","20,000 -30,000","30,000 -60,000",D,A
NumbersMCQuestions.pdf,Nm,1,6,Whi ch tribe had the most counted in the census (Num 1:26)?,Reuben,Ephraim,Judah,Dan,C,A
NumbersMCQuestions.pdf,Nm,1,7,"The total that were numbered in the census came to approximately  
 (Num 1:46)","70,000","150,000","600,000",One million,C,I
NumbersMCQuestions.pdf,Nm,1,8,What tribe was not to be counted (Num 1:47)?,Levi,Asher,Benjamin,Manasseh,A,B
NumbersMCQuestions.pdf,Nm,1,9,"All of the following were job responsibilities of the tribe of Levi  
 EXCEPT (Num 1:50ff)",Carrying the tabernacle furnishings,Starting the altar fires,Setting up the tabernacle,Taking the tabernacle it down,B,B
NumbersMCQuestions.pdf,Nm,1,10,Which tribe was to camp directly around the Tabernacle (Num 1:53)?,Judah,Reuben,Moses,Levi,D,B
NumbersMCQuestions.pdf,Nm,1,11,Each person in the census had to be old enough to be able to (Num 1:3),Serve in the army,Bring an offering to the tabernacle,Serve as a priest,Contribute to the construction of the Tent of Meeting,A,A
NumbersMCQuestions.pdf,Nm,1,12,Which tribe had the least men counted in the census (Num 1:35)?,Reuben,Manasseh,Judah,Dan,B,A
NumbersMCQuestions.pdf,Nm,2,1,"In the ordering of the camp around the tabernacle, each man was to  
 camp under his tribal (Num 2:2)",Tent,Rock,Standard,"Staff  
C:I:N m:2 
 
2.  All of the following tribes camped on the east of the tabernacle  
 EXCEPT (Num 2:3 -7) 
 A. Zebulun  
 B. Issachar  
 C. Reuben  
 D. Judah",C,A
NumbersMCQuestions.pdf,Nm,2,3,"All of the following tribes camped on the south of the tabernacle  
 EXCEPT (Num 2:10 -14)",Judah,Reuben,Gad,Simeon,A,A
NumbersMCQuestions.pdf,Nm,2,4,"All of the following tribes camped on the west of the tabernacle  
 EXCEPT (Num 2:18 -22)",Ephraim,Reuben,Manasseh,Benjamin,B,A
NumbersMCQuestions.pdf,Nm,2,5,"On what side of the tabernacle did the descendants of Rachel camp  
 (Num 2:18 -22)?",North,South,East,West,D,A
NumbersMCQuestions.pdf,Nm,2,7,"All of the following tribes camped on the north of the tabernacle  
 EXCEPT ( Num 2:25 -29)",Dan,Ephraim,Asher,Naphtali,B,A
NumbersMCQuestions.pdf,Nm,2,8,"On the east side of the tabernacle the three tribes were under whose  
leadership (Num 2:9)?",Ephraim,Reuben,Judah,Dan,C,A
NumbersMCQuestions.pdf,Nm,2,9,On the south the three tribes were under whose leadership (Num 2:16)?,Ephraim,Reuben,Judah,Dan,B,A
NumbersMCQuestions.pdf,Nm,2,10,On the west the three tribes were under whose leadership (Num 2:24)?,Ephraim,Reuben,Judah,Dan,A,A
NumbersMCQuestions.pdf,Nm,2,11,On the north the three tribes we re under whose leadership (Num 2:31)?,Ephraim,Reuben,Judah,Dan,D,A
NumbersMCQuestions.pdf,Nm,2,12,The tribes on which side were to set out first (Num 2:9)?,North,South,East,West,C,A
NumbersMCQuestions.pdf,Nm,2,13,The tribes on which side were to set out last (Num 2:31)?,North,South,East,West,A,A
NumbersMCQuestions.pdf,Nm,2,14,The tribes on which side were to set out second (Num 2:16)?,North,South,East,West,B,A
NumbersMCQuestions.pdf,Nm,2,15,The tribes on which side were to set out third (Num 2:31)?,North,South,East,West,D,A
NumbersMCQuestions.pdf,Nm,2,16,"The Levites and the Tent of Meeting traveled in the _______  
 of the camps (Num 2:17)",Beginning,Middle,End,Outside,B,B
