book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Ruth,Rt,1,1,"In the days when the judges ruled, there was a _________ in the land  (Ruth 1:1)",Plague  of rats,Famine,Locust plague,Drought,B,B
Ruth,Rt,1,2,"Elimele ch and his wife, Naomi, moved to which country  (Ruth 1:1) ?",Edom,Gilead,Moab,Aram,C,B
Ruth,Rt,1,3,Elimelech and Naomi were originally from what town (Ruth 1:1)?,Jerusalem,Bethel,Tekoa,Bethelehm,D,B
Ruth,Rt,1,4,The town of Bethlehem is in what tribal region (Ruth 1:1)?,Judah,Ephraim,Dan,Benjamin,A,I
Ruth,Rt,1,5,What were the names of Naomi’s two sons (Ruth 1:2)?,Hophni and Phi neas,Nadab and Abihu,Abimelech and Jotham,Mahlon and Kilion,D,B
Ruth,Rt,1,6,Who from Naomi’s family died  (pick the best answer) (Ruth 1:3f) ?,Her husband,One of her sons,Both her sons and her husband,Her sister,C,B
Ruth,Rt,1,7,What were the names of the two Moabite women Naomi’s sons married (Ruth 1:3)?,Ruth and Marah,Ruth and Orpah,Ruth and Mariam,Ruth and Abigail,B,B
Ruth,Rt,1,8,Why did Naomi want to return to Bethlehem (Ruth 1:6)?,Her father was dying,The Lord appeared to her in a dream and told her to,She had no place among the Moabites after her husband died,She heard the Lord was providing food there,D,B
Ruth,Rt,1,9,"Where did Naomi and her daughters -in-law go, after their husbands’ deaths  (Ruth 
1:6)?",Jerusalem,Hebron,Beth Shemesh,Bethlehem,D,B
Ruth,Rt,1,10,What did Naomi ask her daughters -in-law to do  (Ruth 1:8) ?,To remember her in prayer as she returned,To go back to their mother’s homes  in Moab,To eat with her before she leaves,To come back home with her  to Judah,B,B
Ruth,Rt,1,11,What does Naomi ask the Lord to do for her daughters -in-law (Ruth 1:11) ?,Give them many children,Grant them new husbands,Reward them for their loyalty  to her,Look favorably upon them  and bless them,B,I
Ruth,Rt,1,12,"How did Naomi part with Orpah and Ruth after she requested that they part (Ruth 
1:9)?",They kissed  and wept,They hugged  and wept,They washed each other’s feet,They broke bread toget her,A,I
Ruth,Rt,1,13,"How did Orpah and Ruth respond after Naomi’s request that they return to their 
people (Ruth 1:10)?","They said, “We will never forget you and your sons”","They said, “How can we ever leave you?”","They said, “We will go back w ith you to your people”","They said, “May the Lord bless you and keep you”",C,B
Ruth,Rt,1,14,What does Ruth decide to do when Naomi leaves  (Ruth 1:17) ?,Return home with Naomi,Go back to her mother’s home,Find a new husband in Moab,Stay with her sister -in-law Orpah,A,B
Ruth,Rt,1,15,What does Orpah decide to do when Naomi leaves  (Ruth 1:14) ?,Return home with Naomi,Go back to her people and her gods,Find a new husband in Moab,Stay with her sister Naomi,B,B
Ruth,Rt,1,16,Why does Naomi urge her daughter -in-laws to return home  (Ruth 1:13) ?,She can’t provide for them  as she has no land back in Bethelehem,They shouldn’t wait for her to have sons for them to marry,She can’t find another husband  to suppo rt them,Her people would not accept Moabite women,B,B
Ruth,Rt,1,17,What does Naomi claim the Lord has done to her  (Ruth 1:13) ?,Given her good daughters -in-law,Forgotten her  in days without number,Turned his hand against her,Brought her great pain  and sorrow,C,B
Ruth,Rt,1,18,Ruth tells Naomi that she will do all of the following EXCEPT  (Ruth 1:16f),Will go where she goes,Will die where she dies,Will sleep where she sleeps,Naomi’s God will be her God,C,B
Ruth,Rt,1,19,What did Ruth tell Naomi not to do (Ruth 1:16)?,Urge her to leave Naomi,Tell her there was no hope,Wait until Naomi’s current sons would grow up,Give up,A,B
Ruth,Rt,1,19,Why does Naomi let Ruth come with her  (Ruth 1:18) ?,She wanted her c ompany,Ruth was determined to go with her,She had no other family  to go back to,Ruth needed a new husband,B,I
Ruth,Rt,1,20,How did the town respond to Naomi’s return  (Ruth 1:19) ?,The town was cheerful,They asked where her husband was,The town was stirred,They had a celebration,C,I
Ruth,Rt,1,21,"What did the Bethlehem townsfolk ask when Naomi and Ruth returned to Bethlehem 
(Ruth 1:19)?",“Can this be Naomi?”,“Where are your sons and your husband”,“Who is this Moabite w oman”,"“Why did you come back?”  
5",A,I
Ruth,Rt,1,22,What does Naomi a sk to be called when she returned to Bethlehem (Ruth 1:20) ?,Ephah,Ichabod,Anathema,Mara,D,B
Ruth,Rt,1,23,What does “Mara ” mean to Naomi and the others (Ruth 1:20) ?,Desolate,Bitter,Hopeless,Abandoned,B,B
