book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Questions,1S,1,1,"How many wives did Samuel’s father , Elkanah,  have  (1 Sam 1:2) ?",1,2,3,5,B,B
Questions,1S,1,2,Who was Samuel’s father (1 Sam 1:1)?,Hophni,Hezron,Nahson,Elkanah,D,B
Questions,1S,1,3,Samuel’s mother was  (1 Sam 1:20) ?,Peninnah,Zipporah,Hannah,"Jochebed  
2",C,B
Questions,1S,1,4,"What tribe was Elkanah, the father of Samuel, from (1  Sam 1:1)?",Ephraim,Benjamin,Zebulun,Judah,A,I
Questions,1S,1,5,"What clan was Elkanah, the father of Samuel, from (1 Sam 1:1)?",Elthonite,Zuphite,Rephaimite,Hezronite,B,A
Questions,1S,1,6,What was the name of Elkanah’s other wife (1 Sam 1:2)?,Peninah,Deborah,Miriam,Orpah,A,I
Questions,1S,1,7,Year by year where did Elkanah go to worship and sacrifice to the Lord (1 Sam 1:3)?,Jerusalem,Bethel,Shiloh,"Gibeon  
3",C,B
Questions,1S,1,8,Who was the father of Hophni and Phinehas  (1 Sam 1:3)?,Eli,Ichabod,Elkanah,Gershom,A,B
Questions,1S,1,9,Which of the following was a son of Eli (1 Sam 1:3)?,Josiah,Hophni,Nadab,Abihu,B,B
Questions,1S,1,10,Which of the following was a son of Eli (1 Sam 1:3)?,Josiah,Nadab,Abihu,Phineas,D,B
Questions,1S,1,11,"When would Elkanah give meat portions to his wife Peninah and her children (1 Sam 
1:4)",Whenever he sacrificed,Whenever he sheared his sheep,"Whenever a visitor came to his house  
4",Whenever he went to meet with Eli,A,I
Questions,1S,1,12,When Elkanah went to sacrifice what would he give Hannah (1 Sam 1:5) ?,Fruits and vegetables,A double portion of sacrificial meat,Her own sheep and goats to shepherd,Three pieces of silver,B,I
Questions,1S,1,13,Why  was Hannah crying  (1 Sam 1:6f) ?,The Lord has closed h er womb,Her mother died,She wept for Israel’s going after other gods,Her son had died,A,B
Questions,1S,1,14,What did Peninah do to Hannah  (1 Sam 1:6f)?,She mocked her in front of Elkanah and her children,She provoked and irritated her till she cried,She prayed for her and had compassion on her,She told Hannah that she would receive no inheritance,B,I
Questions,1S,1,15,When did Peninah provoke Hannah (1 Sam 1:7)?,Whenever  Hannah went to the well to draw water,Whenever they were alone,"Whenever there were feasts and celebrations  
5",Whenever she went to the house of the Lord,D,I
Questions,1S,1,16,What did Elkanah ask Hannah when she was weeping (1 Sam 1:8)?,What can  I do to ease your pain?,Don’t you mean more to me than seven sons?,Don’t I mean more to you than ten sons?,Has not the Lord kept you from having children,C,B
Questions,1S,1,17,At the Lord’s temple where was Eli seated (1 Sam 1:9)?,By the altar,By the doorpost of the temple,By the ark,Gate of the city,B,A
Questions,1S,1,18,What did Hannah do while she was weeping in bitterness of soul (1 Sam 1:10)?,Cursed the day of her birth,Was silent before the Lord,Wondered why this was happening to her,Prayed,D,B
Questions,1S,1,19,What did Hannah make a vow before God for (1 Sam 1:12)?,For a son,For God’s favor,"For her husband’s love  
6",For God’s listening to her prayer,A,B
Questions,1S,1,20,What did Hannah promise God if he gave her a son (1 Sam 1:12)?,He would never drink wine or beer,He would offer sacrifices to the Lord,He would become a judge delivering God’s people,She no razor would ever come on his head,D,B
Questions,1S,1,21,What did Eli th ink about Hannah w hen she was praying (1 Sam 1:13)?,Drunk,Crazy,A widow,An immoral woman,A,B
Questions,1S,1,22,Why did Eli think Hannah was drunk (1 Sam 1:13)?,She was so distraught she had trouble standing up,She fell to the ground,Her mouth was moving but her voice was not heard,Her hands were waving over her head in grief,C,I
