book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
1Kings01,1K,1,1,What happened to David when he got old (1 Kgs 1:1)?,He could not see,He could not hear,He could not stay warm,He could not walk,C,B
1Kings01,1K,1,2,What did King David initially use to try to keep warm (1 Kgs  1:1)?,Sheepskins,Covers,Cloaks,A small fire,B,A
1Kings01,1K,1,3,"What purpose did King David’s s ervants suggest the young virgin be found who 
would serve the king (1Kgs. 1:2)?",To feed him,To keep him company,To keep him warm,To wait on him,C,B
1Kings01,1K,1,4,After a search was done who did they find to keep David warm (1 Kgs 1:3)?,Abigail,Maacah,Hamutal,Abishag,D,B
1Kings01,1K,1,5,Where or what group was A bishag identified with (1 Kgs 1:3)?,Gibeonites,Gileadites,"Shilonites  
2",Shunammites,B,A
1Kings01,1K,1,6,What was noted about Abishag (1 Kgs 4)?,She was very in telligent,She had no children,She was very beautiful,She was the daughter of the king of Ammon,C,I
1Kings01,1K,1,8,How did the text characterize David’s relationship with Abigshag (1 Kgs 1:4)?,He had no relations with her,He saw her only in wi nter,He provided for her food and clothing,He chose her as his favorite wife,A,B
1Kings01,1K,1,9,Who was Adonijah’s mother (1 Kgs 1:5)?,Bathsheba,Maacha,Ahinoam,Haggith,D,A
1Kings01,1K,1,10,"What did Adonijah, David’s son, seek for himself (1 Kgs 1:5)?",The kingship,The right of the first born,To kill the other sons of David,To take over the army,A,B
1Kings01,1K,1,11,What did Adonijah do to announce himself as king (1 Kgs 1:5)?,The priests to anoint his head with oil and proclaim h im king,The prophet Nathan to announce him as king,Chariots and 50 men to run ahead of him,He proclaimed a holiday in Israel,C,B
1Kings01,1K,1,12,What had David never  done with regards to Adonijah (1 Kgs  1:6)?,Questioned his behavior,Prov ided for his needs,Loved him,"Given him gifts  
3",A,I
1Kings01,1K,1,13,Who supported Adonijah’s decision  to make himself k ing (1 Kgs  1:7)?,Zadok and Barzillai,Abner  and Rei,Joab and Abiathar,Shimei and Nathan,C,B
1Kings01,1K,1,14,"Who was the priest that Adonijah invited to support his bid for the kingship (1 Kgs 
1:7)?",Zadok,Abiathar,Phineas,Hilkiah,B,B
1Kings01,1K,1,15,"All of the following did not  join Adonijah’s announcement of his kingship  EXCEPT  
(1 Kgs 1:10)?",Zadok the priest,Nathan the prophet,Joab the commander,"Solomon  
  E. David’s special guard",C,B
1Kings01,1K,1,16,Where did Adonijah sacrifice sheep (1 Kgs 1:9)?,Near En Rogel,Near Gihon,Near Millo,Near the Mount of Olives,A,A
1Kings01,1K,1,17,"Where did Adonijah sacrifice sheep for his proclamation of becoming king (1 Kgs 
1:9)?",The Standing Stone of Shechem,The Stone of Zoheleth,The Rock of Gilloh,The Rock of Zeruiah,A,A
1Kings01,1K,1,18,Who told Bathsheba of Adonijah’s plot to become king (1 Kgs 1:12)?,Abiathar,"Joab 
4",Nathan,Benaiah,C,B
1Kings01,1K,1,19,What oath did Bathsheba remind David about (1 Kgs  1:13)?,David’s promise that Solomon would be king after him,God’s promise that David’s decedents would build God’s t emple,David’s promise to protect Bathsheba from harm,God’s promise to be faithful to those who trust in him,A,B
1Kings01,1K,1,20,"While Bathsheba was to remind David of his oath about Solomon who would come in 
and confirm what she was saying (1 Kgs 1:14) ?",Joab,Benaiah,Zadok,Nathan,D,B
1Kings01,1K,1,21,What did Bathsheba do upon entering the king’s room (1 Kgs  1:16) ?,Prostrated herself before the king,Bowed low and knelt before the king,Fell to the ground and wept,Clasped the king’s knees and sought his aid,B,I
1Kings01,1K,1,22,"Bathsheba told David that all of the following were invited by Adonijah to his 
coronation EXCEPT  (1 Kgs 1:19)",Joab,Abiath ar the priest,All the king’s sons,Zadok the prophet,D,I
1Kings01,1K,1,23,"Wha t did Bathsheba tell David that she and Solomon would be treated as after David 
died if Adonijah became king (1  Kgs 1:21)?",Enemies of Israel,Slaves,Criminals,Outcasts,C,B
1Kings01,1K,1,23,"Bathsheba told David whose eyes were looking to David to  see who would be the 
next ruler (1 Kgs 1:20)?",The eyes of the neighboring kingdoms,The eyes of the king’s sons,The eyes of all Israel,The eyes of all Jerusalem,C,A
1Kings01,1K,1,24,"What were the supporters of Adonijah declaring as they ate and drank with him 
according to Nathan the prophet (1 Kgs 1:25)?",“All hail the king!”,“Praise be to the LORD who has established Adonijah’s kingdom!”,“Adonijah is king of Israel !”,“Long live King Adonijah!”,D,B
1Kings01,1K,1,25,What action symbolize d the kingship to the supporters of Solomon (1  Kgs 1:27)?,Ruling with the scepter,Sitting on the throne,Wearing the crown,Offering large sacrifices,B,A
1Kings01,1K,1,26,"After Nathan’s declaration and question  on who should be king , who did the king 
call (1  Kgs 1:28)?",Bathsheba,Joab,Adonijah,Zadok,A,B
1Kings01,1K,1,27,"How did David describe the LORD  in his oath to Bathsheba about Solomon 
becoming the next king (1Kgs 1:29)?",One who comes to the aid of the needy,One who has always listened to his prayers,One who loves justice,One who has delivered him out of every trouble,D,I
1Kings01,1K,1,28,"David called upon all of the following to initiate the coronation of Solomon as king of 
Israel instead of Adonijah EXCEPT (1 Kgs 1:32)",Zadok the priest,"Joab  
6",Nathan the prophet,"Benaiah  
B:B: 1K:1  
 
29.  What type of animal were Zadok, Nathan and Benaiah supposed to set Solomon on 
(1 Kgs 1:33)?  
 A.  A camel  
 B. A mule  
 C.  A white horse  
 D.  A chariot",B,B
1Kings01,1K,1,30,What office did Zadok and Nathan hold (1 K gs 1:34)?,Gatekeeper and Cupbearer,King and Sage,Priest and Prophet,Advisor and Record -Keeper,C,B
1Kings01,1K,1,31,"David instructed Zadok, Nathan and Benaiah to do all of the following in making 
Solomon king EXCEPT (1 Kgs 1:34f)",Drink from the Gihon spring,Sound the trumpet,Anoint him king,"Shout “Long live King Solomon”  
  E. Sit him on David’s throne",A,B
1Kings01,1K,1,32,"Adonijah was at En Rogel trying to proclaim himself king where did David have 
Solomon made king (1 Kgs 1:33)?",En Gedi,Gihon Spring,The pool of Siloam,The poo of Bethesda,B,I
1Kings01,1K,1,33,"What other groups helped in the coronation of Solomon besides Zadok, Nathan and 
Benaiah (1 Kgs 1:38)?",The Edomites and Ammonites,The Merarites and Kohathites,The Jebusites a nd Hittites,The Kerethites and Pelethites,D,A
1Kings01,1K,1,34,"Who expressed his wished to David that the Lord be with Solomon as he was with 
David (1 Kgs 1:37)?",Nathan,Bathsheba,Benaiah,Zadok,C,A
1Kings01,1K,1,35,Where did Zadok take out the horn of  oil from (1 K gs 1:39)?,His donkey’s pack,The sacred tent,The king’s storehouse,The folds of his garment,B,A
1Kings01,1K,1,36,"What instrument was played as the people went up after Solomon who had just been 
proclaimed king (1 Kgs 1:40)?",Trumpets,Harps,Lyres,Flutes,D,A
1Kings01,1K,1,37,What happened as a result of the people’s rejoicing (1 K gs 1:40)?,The ground shook with the sound,The flocks and herds trampled each other underfoot,The people became drunk,Solomo n was forcibly carried up to Jerusalem,A,A
1Kings01,1K,1,38,"What initially tipped Adonijah and Joab off that something was happening in the city 
of Jerusalem (1 Kgs 1:41)?",The smoke from the sacrifices,The sound of the shout of the people,The sound o f the trumpets,The voice of the city crier,C,A
1Kings01,1K,1,39,"Who arrived to warn Adonijah and announce that David had made Solomon king (1 
Kgs 1:42)?","Asahel, Joab’s brother","Jonathan, Abiathar’s son","Shimei, the Benjamite  
8",Barzillai the Gilea dite,B,I
1Kings01,1K,1,40,"What did Adonijah expect when  he saw that  Jonathan son of Abiathar the priest had 
arrived  (1 Kgs 1:42)?",To be anointed king,To begin a ritual sacrifice,To hear good news,To be rebuked,C,I
1Kings01,1K,1,41,"According to Jonathan , son of Abiathar,  who made Solomon king (1 K gs 1:43)?",Nathan the prophet,The LORD,Zadok the priest,King David,D,B
1Kings01,1K,1,42,What was the noise Adonijah and his guests heard (1 K gs 1:45)?,Trumpets blasting,People cheering,Livestock lowing,Bathsheba weeping,B,B
1Kings01,1K,1,43,"Who said, “May your God make Solomon’s name more famous than yours” (1 Kgs 
1:47)?",The royal officials,The Kerethites and Pelethites,Nathan the prophet,The priests,A,A
1Kings01,1K,1,44,"What was the response of Adonijah’s guests when they heard David had made 
Solomon king (1 Kgs 1:49)?",They put on their swords preparing to attack,They grabbed Adonijah and killed him,They fled to the spring at En Rogel,They dispersed,D,A
1Kings01,1K,1,45,When Solomon was made king why did David praise God (1 Kgs 1:48)?,"That God had raised up a king in Israel  
9",That God had allowed him to see his successor,That God had given Solomon such great w isdom,That God had kept his promise to David by giving him a successor,B,I
1Kings01,1K,1,46,Where did the king bow and worship when Solomon was made king (1 Kgs 1:48)?,On his bed,In the LORD’s house,At Gihon,Before Solomon,A,I
1Kings01,1K,1,47,W hat did Adonijah do when he heard Solomon had become king (1 K gs 1:50)?,Prepared for battle,Took hold of the horns of the altar,Prayed to the LORD,Fled to the wilderness,B,B
1Kings01,1K,1,48,What did Adonijah fear would happen to him (1 K gs 1:51)?,He would be put to death by the sword,He would be exiled from the land,He would be disgraced in the eyes of Israel,He would be tortured and left for dead,A,I
1Kings01,1K,1,49,"If Adonijah showed himself to be a worthy man, what did So lomon say would 
happen to him (1 K gs 1:52)?",He would also come to rule over a people,His former wealth and honor would be restored to him,The LORD would pour out his blessings upon him,Not a hair of his head would fall to the ground,D,B
1Kings01,1K,1,50,"Where did Solomon send Adonijah after he came down from grabbing onto the hors 
of the altar? (1 Kgs 1:53)?",To the temple to worship,To the palace prison,Exiled out of the city gate,Home,D,I
1Kings01,1K,2,1,What did David do just before he died (1 Kgs 2:1)?,He went to the temple of the Lord,He gave a charge to Solomon his son,He directed Joab and Abiathar how to serve Solomon,He called for Bathseba and made her a promise,B,I
1Kings01,1K,2,2,In his final charge to Solomon David said he was going to go what way (1 Kgs 2:2)?,The way of the Lord,The way of all the kings,The way of the righteous,The way of all the earth,D,I
1Kings01,1K,2,3,"In h is final charge to Solomon what did David tell Solomon to do in order to be 
successful (1 Kgs 2:3)?",Keep God’s decrees and commands as written in the Law of Moses,Honor his father until the day of his death,Lead Israel in the way that is rig ht and just and fair,Follow the way of wisdom and understanding and do not depart from it,A,B
1Kings01,1K,2,4,In his final charge to Solomon what did David say God had promised him (1 Kgs 2:4)?,"If you keep all the laws of Moses you will be fruitful and multiply and fill 
the land","If you do not turn aside to idols the Lord will give you rain in its seasons 
and a bountiful harvest","God’s faithful love would never be taken from Solomon as it was taken 
from Saul","If your descendants watch how t hey live you will never fail to have a man 
on the throne of Israel",D,B
1Kings01,1K,2,5,In his final  charge to Solomon what does David condemn Joab for doing (1 Kgs 2:5)?,Killing his son Absalom,Leading Israel astray by his violence,Killing Abner and Amassa,Killing Ahimelech the priest of Nob,C,B
1Kings01,1K,2,6,"In his final charge to Solomon what does David condemn Joab for doing (1 Kgs 2:5)?  
11",Trying to lead a revolt against Solomon,Shedding blood in peacetime as if in battle,Desiring to kill Saul the Lord’s anointed,Shedding blood so David could not build the temple,B,B
1Kings01,1K,2,7,"In his final charge to Solomon what part of Joab did David say was stained with blood 
(1 Kgs 2:5)?",His sandals,His sword,His belt,His robe,C,A
1Kings01,1K,2,8,"In his final charge to Solomon how did David tell Solomon to deal with Joab (1 Kgs 
2:6)?",According to justice,According to his wisdom,According to the Law of Moses,According to the evils Joab had brought on Israel,B,B
1Kings01,1K,2,9,"In his final charge to Solomon what part of Joab did David say should not go to the 
grave in peace (1 Kgs 2:6)?",His gray head,His strong arm,His sword,His shield,A,I
1Kings01,1K,2,10,"In his final charge to Solomon to whom did David say Solomon should show 
kindness (1 Kgs 2:7)?",The sons of Jonathan the son of Saul,The sons of Nathan the prophet,The sons of Absalom the son of David,The sons of Barzillai of Gilead,D,B
1Kings01,1K,2,11,"In his final charge to Solomon why did David s ay Solomon should show kindness to 
the sons of Barzillai of Gilead (1 Kgs 2:7)?",Because he was righteous in all the house of Judah,Because he stood with David when he fled from Absalom,"Because he stood with David when he fled from Saul  
12",Because he gave David food and a sword when he was fleeing from Saul,B,I
1Kings01,1K,2,12,"In his final charge to Solomon who did David tell Solomon to remember for having 
cursed David (1 Kgs 2:8)?",Barzillai of Gilead,Shimei the Benjamite,Joab the son of Zeruiah,Adonijah the son of David,B,B
1Kings01,1K,2,13,"In his final charge to Solomon David said Shimei had cursed him when he went to 
________ (1 Kgs 2:8)",Gilgal,En Gedi,Mahanaim,Bethel,C,A
