book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Luke,Lk,1,1,What have many undertaken t o do (Lk 1:1)?,Draw up an account of the thing that have been fulfilled among us,"Record an account of the Jesus Christ the Son of David, the son of Mary","Write down the teachings of one , Jesus , who is the Christ of God",Copy down the tra ditions surrounding the life and times of Jesus,A,B
Luke,Lk,1,2,Who first handed down things that ha d been fulfilled among them (Lk 1:2)?,The apostles and prophets,Eyewitnesses and servants of the word,The disciples and friends,Those who were healed and his followers,B,B
Luke,Lk,1,3,What had Luke himself done (Lk 1:3)?,Collected all the writings about Jesus the Son of God,Listened to the reports of the followers of Jesus the Christ,Written down all that he was told by the apost les,Carefully investigated everything from the beginning,D,B
Luke,Lk,1,4,"How did Luke characterize the report that he wrote (Lk 1:3)?  
2",A confirmed report,A true report,An orderly report,An accurate report,C,B
Luke,Lk,1,5,For whom was the book of Luke written (Lk 1: 3)?,Nicodemus,All followers of Jesus,Ariscarpus,Theophilus,D,B
Luke,Lk,1,6,"What title did Luke give Theophilus , the addressee of the book (Lk 1:3)?",Prince,Most excellent,Your highness,Lord,B,B
Luke,Lk,1,7,Why did Luke write this book to Theophilus (Lk 1:4)?,So that he might know the certainty of the things he have been taught,So that he might be able to defend the gospel of Jesus Christ,So that he may be able to teach and baptize others in the name of Jesus,So that the whole world might know that Jesus is the Christ,A,B
Luke,Lk,1,8,Who was king of Judea when Jesus was born (Lk 1:5)?,"Pilate  
3",Augustus,Herod,Caiaphas,C,B
Luke,Lk,1,9,Who was a priest and husban d of Elizabeth around the time of Jesus’ birth (Lk 1:5)?,Abiathar,Eleazar,Zadok,Zechariah,D,B
Luke,Lk,1,10,"Who was the wife of the priest Zechariah around the time of the birth of Christ (Lk 
1:5)?",Mary,Priscilla,Elizabeth,Salome,C,B
Luke,Lk,1,11,Of what priestly division was Zechariah the father of John the Baptist (Lk 1:5)?,Abijah,Hezron,Naggai,Eliakim,A,A
Luke,Lk,1,12,"Elizabeth, Zechariah ’s wife, was said to be a descendant of whom (Lk 1:5)?  
4",Ephraim,Aaron,David,Samuel,B,I
Luke,Lk,1,13,How were Zechariah and Elizabeth characterized in Luke (Lk 1:6) ?,Upright,Faithful,God fearing,Righteous,D,I
Luke,Lk,1,14,How were Zechariah and Elizabeth characterized in Luke (Lk 1:6)?,Observing all the Lord’s commands blamelessly,Faithful to the traditions of Israel,Fearers of the God of Israel,Looking for the One who was to come to redeem Israel,A,B
Luke,Lk,1,15,What was noted about Elizabeth and Zechariah (Lk 1:7)?,They worshipped daily at the temple,They were childless,He was lame in both legs and she took care of him,They were friends of Joseph and Mary,B,B
Luke,Lk,1,16,"How were Zechariah and Elizabeth characterized in Luke (Lk 1:7)?  
5",Old,Servants in Herod’s household,Waiting for the coming of the Christ,Praying and fasting,A,I
Luke,Lk,1,17,How was Zechariah chosen to serve as priest before God (Lk 1:9)?,By drawing straws,By vote of the chief priests,By casting lots,By order of the high priest,C,B
Luke,Lk,1,18,What was Zechariah chosen to do in the temple of God (Lk 1:9)?,Light the lampstand,Put the bread of the presence on the table in the sanctuary,Offered the daily sacrifice,Burned incense,D,A
Luke,Lk,1,19,"Wh en the time for burning of incense came , what were the worshippers doing (Lk 
1:10)?",Offering the da ily sacrifice,Lighting the lamps in the temple,Praying outside,Reading the scripture,C,A
Luke,Lk,1,20,Where was the angel of the Lord that appeared to Zechariah standing (Lk 1:11)?,In the Holy of Holies,To the left of the table of the bread of the presence,By the curtain of the temple,On the right side of the altar of incense,D,A
Luke,Lk,1,21,"Who appeared to Zechariah when he was ready to burn incense in the temple of the 
Lord (Lk 1:11)?",An unnamed angel,Michael the archangel,The angel of the Lord,The Lord,C,I
Luke,Lk,1,22,"What was Zechariah’s initial reaction to seeing the angel of the Lord in the temple 
(Lk 1:1 2)?",He wondered what this could mean,He praised the Lord of hosts,He bl inded by his brightness,He was gripped with fear,D,B
Luke,Lk,1,23,What did the angel of the Lord announce to  Zechariah (Lk 1:13)?,"Elizabeth, his wife, would have a son",His son would be Elijah who was prophesied,His son would be a priest f rom birth,"His son would announce the Christ to Israel  
7",A,B
Luke,Lk,1,24,What did the angel instruct Zechariah to do for his son (Lk 1:13)?,Teach him the way of the Lord,Take him to the temple and there dedicate him to the Lord,Name him John,Present him to the high priest,C,B
Luke,Lk,1,25,"What did the angel tell Zechariah many would do as a result of John’s birth  (Lk 
1:14)?",Many would find the Lord their God,Many would rejoice,Many would be pointed to the Christ,Many woul d repent and enter the kingdom,B,I
Luke,Lk,1,26,"From birth , what was John not to do (Lk 1:15)?",Take fermented drink,Cut his hair,Eat meat,"Become unclean  
 A:B:Lk:1  
27. What would happen to John even before he was born (Lk 1: 15)? 
  A. He would be chosen to be a prophet of the Lord  
  B. He would be chosen as a prophet of r epentance  
  C. He would be filled with the Holy Spirit  
8 
 
  D. He would be born without sin",C,B
Luke,Lk,1,28,John’s ministry was described as that he would __________ (Lk 1:16),He would bring many people to the house of God,He would bring back many people to the Lord their God,He would call the righteous in the desert,He would baptize the son of the Most High,B,A
