book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Mark,Mk,1,1,How does the opening of Mark label  Jesus Christ (Mk 1:1)?,The Son of Man,The Son of David,The Son of God,The One who is to come,C,I
Mark,Mk,1,2,How does Mark label his own book (Mk 1:1)?,A gospel,A parable,A witness,A record,A,B
Mark,Mk,1,3,Who is sent to pr epare the way (Mk 1:2)?,My prophet,My messenger,My Spirit,The mother of God,B,B
Mark,Mk,1,4,What prophet told of a voice calling in the desert (Mk 1:3)?,Malachi,Jeremiah,Daniel,Isaiah,D,B
Mark,Mk,1,5,For whom did the voice i n the desert prepare the way (Mk 1:3)?,For the Christ,"For the Holy One  
2",For the Lord,For the Son of God,C,B
Mark,Mk,1,6,Who was baptizing in the desert region (Mat 1:4)?,John,The forerunner,A prophet,Jesus,A,B
Mark,Mk,1,7,Wh at was John’s baptism about in preparing the way for the Lord (Mk 1:4)?,Showing allegiance to Jesus,Proclaiming that the kingdom was near,For repentance for the foriveness of sins,Announcing the coming of the kingdom,C,B
Mark,Mk,1,8,What two regions were cited as going out to John (Mk 1:5)?,Bethlehem and Jerusalem,Judea and Jerusalem,Judea and Samaria,Galilee and the Decapolis,B,I
Mark,Mk,1,9,Where did John baptize people coming out to him (Mk 1:5)?,In the Sea of G alilee,In the Salt Sea,At the spring of Kadesh,In the Jordan River,D,B
Mark,Mk,1,10,What did the people do who came out to be baptized by John (M k 1:5)?,Confessed their sins,Put on sackcloth,Fasted and prayed,Looked for the c oming One,A,B
Mark,Mk,1,11,What was John’s clothing made of (Mk 1:6)?,Linen,Sheep skin,Goat hair,Camel hair,D,B
Mark,Mk,1,12,What did John eat (Mk 1:6)?,Fruits and vegetables,Olives and figs,Locusts and wild honey,Wheat and wine,C,B
Mark,Mk,1,13,How did John describe the one coming after him (Mk 1:7)?,As the one who would sit and rule on David’s throne,As one whose sandal thongs he was not worthy to untie,As one who would teach the way of the Lord more fully,As the one who was told about by Isaiah the prophet,B,B
Mark,Mk,1,14,How did John describe the work that the one coming would do (Mk 1:8)?,He would baptize with the Holy Spirit,He would teach the way of the Lord more fully,He would heal the peo ple of God,He would baptize us in his blood,A,B
Mark,Mk,1,15,Where did Jesus come to in order to be baptized by John (Mk 1:9)?,In the Sea of Galilee,In the Euphrates River,In the Great Sea,In the Jordan River,D,B
Mark,Mk,1,16,What did Joh n see as Jesus came up from being baptized (Mk 1:10)?,The angels of God surrounding,He came up with the Spirit and power of the Lord,"The Spirit descended like a dove on him  
4",The devil taking him out into the wilderness,C,B
Mark,Mk,1,17,"All of the following were said of Jesus by the heavenly voice when he came up out of 
his baptism EXCEPT (Mk 1:11)","Look, the servant of the Lord",You are my son,Whom I love,With you I am well pleased,A,B
Mark,Mk,1,18,Who sent Jesus into the wild erness (Mk 1:12)?,The devil,The Spirit,The Father,John,B,I
Mark,Mk,1,19,How long was Jesus in the wilderness (Mk 1:13)?,7 days,12 days,40 days,50 days,C,B
Mark,Mk,1,20,What happened to Jesus when he was in the wilderness (Mk 1:13)?,He was tempted by Satan,He was fasting and praying,He was communing with the Spirit,He was being led by the Father,A,B
Mark,Mk,12,21,Who was Jesus with out in the desert (Mat 1:13)?,The Father and Spirit,The a ngels and wild animals,His disciples,The crowds,B,I
Mark,Mk,1,22,What did Jesus do after John was put in prison (Mk 1:14)?,Went to Samaria,Went to Nazareth,Went to Galilee,Went to Jerusalem,C,A
Mark,Mk,1,23,"All of the following were part of Jesus’ proclaiming the good news EXCEPT (Mk 
1:15)",The time has come,The kingdom of God has come near,Repent and believe the good news,The lamb of God takes away sin,D,B
Mark,Mk,1,24,Who were casting their net into the lake (Mk 1:16 )?,Simon and Andrew,James and John,Thomas and Matthew,Judas and Bartholomew,A,B
Mark,Mk,1,25,What were Simon and Andrew doing when Jesus told them to follow him (Mk 1:16)?,Preparing their net,Mending their net,Rowing their boat,Casting their net,D,I
Mark,Mk,1,26,What did Jesus tell Simon he would send them out to do (Mk 1:17)?,Preach the good news,Fish for people,Invite people into the kingdom,Rescue people,B,B
Mark,Mk,1,27,What was the response of Sim on and Andrew to Jesus (Mk 1:18)?,They followed him,"They threw their nets away  
6",They invited Jesus into their boat,They walked on water to Jesus,A,B
Mark,Mk,1,28,Whose sons were James and John (Mk 1:19)?,The sons of Thunder,The son s of Zacharias,The sons of Zebedee,The sons of Joseph,C,B
Mark,Mk,1,29,What were James and John doing when Jesus called them (Mk 1:19)?,Mending their nets,Pulling their boat ashore,Preparing the sail,Preparing the nets,D,I
Mark,Mk,1,30,Who did James and John leave their father Zebedee with (Mk 1:20)?,Their mother,The hired men,Peter and Andrew,His brothers and sisters,B,I
Mark,Mk,1,31,After calling James and John where did Jesus go (Mk 1:21)?,Bethsaida,Gergasa,Capernaum,Nazareth,C,A
Mark,Mk,1,32,Where did Jesus go to teach on the Sabbath  after calling James and John  (Mk 1:21)?,The synagogue at Capernaum,The fields outside Gergasa,On the side of a mountain,In a synagogue in Nazareth,A,B
Mark,Mk,1,33,What was the response at Jesus teaching in the synagogue at Capernaum (Mk 1:22)?,They were angry,They were indignant,They rejoiced,They were amazed,D,B
Mark,Mk,1,34,"Why were the people at the synagogue in Capernaum amazed at Jesu s teaching (Mk 
1:22)?",Because he healed the sick,Because he taught as one who had authority,Because he refuted the Pharisees and Sadducees,Because he spoke of God as his Father,B,B
Mark,Mk,1,35,Who cried out to Jesus in the synagogue at Cape rnaum (Mk 1:23)?,A woman with an issue of blood,A man who had leperosy,A man possessed by an evil spirit,A man who was lame in both legs,C,B
Mark,Mk,1,36,What did the demon fear about confronting Jesus (Mk 1:24)?,Jeus would destroy them,Jesus would cast him out,Jesus would throw them into the sea,Jesus would order them to hell,A,B
Mark,Mk,1,37,How did the demon at the synagogue at Capernaum identify Jesus (Mk 1:24)?,The Son of Man,The Son of God,The Christ,The Holy One of God,D,A
Mark,Mk,1,38,"What was Jesus’ first response to the evil spirit at the synagogue in Capernaum (Mk 
1:25)?","Come out of the man  
8",Be quiet,Don’t torment this many any more,Depart into the sea,B,B
Mark,Mk,1,39,How did the demon come out of the man in the synagogue at Capernaum (Mk 1:26)?,He threw the man to the ground,He threw the man into the fire,With a shriek,Leaving him as dead,C,B
Mark,Mk,1,40,"What did the people at Capernaum conclude after see ing Jesus cast out a demon (Mk 
1:27)?",This was a new teaching with authority to give order to evil spirits,Jesus was the one who was to come,The kingdom of heaven was near,Jesus had all authority given to him in heaven and on earth,A,I
Mark,Mk,1,41,"Mark notes where did the news about Jesus spread after he cast the demon out at 
Capernaum (Mk 1:28)?",Through the whole Decapolis,Across the Sea of Galilee into Tiberius,All the way down to Jerusalem,Over the whole region of  Galilee,D,I
Mark,Mk,1,42,To whose house did Jesus go after leaving the synagogue of Capernaum (Mk 1:29)?,The house of James and John,The house of Simon and Andrew,The house of Matthew,The house of Mary Magdalene,B,I
Mark,Mk,1,43,At Simon’s ho use who was sick (Mk 1:30)?,Simon’s wife,Simon’s mother -in-law,"Simon’s sister  
9",A man that was deaf and mute,B,B
Mark,Mk,1,44,"What was wrong with Simon’s mother -in-law when Jesus visited his house (Mk 
1:30)?",Paralyzed,Blind,Fever,Demon possessed,C,B
Mark,Mk,1,45,What did Jesus do and the fever left Simon’s mother -in-law (Mk 1:31)?,Spit on the ground and put the mud on her,Anointed her with oil,Put water on her forehead,Took her hand and helped her up,D,B
Mark,Mk,1,46,Why did Jesus not let the demons speak (Mk 1:34)?,Because they lied about who he was,Because they knew who he was,"Because they shrieked blasphemies  
  B. Because they would not be silent  
B:B:Mk:1  
47.  At sunset at Simon’s house w hat happened (Mk 1:32)?  
  A. The people brought all the sick and demon -possessed to Jesus  
  B. The people lowered a paralyzed man in front of Jesus  
  C.  The people sought out Jesus to teach some more",The people brought Jesus many gifts,A,I
Mark,Mk,1,48,W here did the whole town of Capernaum gather (Mk 1:33)?,At the gate of the synagogue,Outside the synagogue in the city square,At the door of Simon’s house,Outside the city in a field,C,A
Mark,Mk,1,49,When did Jesus get up to pray after goin g to Simon’s house (Mk 1:35)?,That evening after the sun had set,After the crowds had left,In the morning while it was still dark,At noon in the heat of the day,C,A
Mark,Mk,1,50,Where did Jesus go to pray when staying at Smion’s house (Mk 1:35)?,Up into the hills nearby,Out into the desert,Along the sea,To a solitary place,D,I
Mark,Mk,1,51,Who went looking for Jesus when he was out praying in the morning (Mk 1:36)?,James and John,Simon and his companions,Those who had sick and demon -possessed,Simon’s mother -in-law,B,A
Mark,Mk,1,52,"What did Jesus want to do after spending the morning praying at Capernaum (Mk 
1:38)?",Go to Bethsaida to do miracles there,Go to the other side of the Sea of Gali lee,Go to preach in nearby villages,Go to the synagogue to read the Scripture,C,I
