book_name,book_code,chapter,question_number,question,option_a,option_b,option_c,option_d,correct_option,difficulty
Questions,2S,1,1,Where did David stay after the death of Saul two days (2 Sam 1:1)?,Hebron,Gaza,Ziklag,Aphek,C,B
Questions,2S,1,2,How was the man described who brought David news of Saul’s death (2 Sam 1:2)?,Torn clothes and dust on his head,Dust and ashes on his forehead,Cut and bruised with blood flowing,Having had no water and food for  three days,A,I
Questions,2S,1,3,"What had David just done before returning to Ziklag at the time of the death of Saul (2 
Sam 1:1)?",Defeated the Edomites,Raided the Ziphites,Defeated the Amorites,"Defeated the Amalekites  
2",D,B
Questions,2S,1,4,"What did the Amale kite announce to David when he came from the battle if Israel with 
the Philistines (2 Sam 1:4)?",The Philistines had cut off Saul’s head,Saul and Jonathan were dead,The Philistines had captured Megiddo,Israel needed David’s reinforcements,B,B
Questions,2S,1,5,Where was Saul when he asked the Amalekite to kill him (2 Sam 1:6)?,The town of Jezreel,Mount Tabor,Mount Gerizim,Mount Gilboa,D,B
Questions,2S,1,6,"What was the tribal association of the man who brought David word of Saul’s demise 
(2 Sam 1:8)?",Edomite,Amorite,Amalekite,Hittite,C,B
Questions,2S,1,7,"The Amalekite said who was almost upon Saul as he leaned on his spear wounded (2 
Sam 1:6)?",The archers of the Philistines,"The chariots and riders  
3",The Philistines with sword s and spears,Achish king of the Philistines,B,A
Questions,2S,1,8,What state was Saul in when he asked the Amalekite to kill him (2 Sam 1:9)?,Mortally wounded but still alive,Wounded and unable to run,Unharmed but surrounded by the Philistine army,Defense less without weapon as the Philistines approached,A,B
Questions,2S,1,9,What did the Amalekite bring from Saul to David after the death of Saul (2 Sam 1:10)?,Saul’s chain and crown,Saul’s crown and arm band,Saul’s crown and shield,Saul’s sword and shield,B,B
Questions,2S,1,10,Who did the Amalekite claim had killed Saul (2 Sam 1: 10)?,He had,The Philistines had,An Edomite had,Saul had killed himself,A,B
Questions,2S,1,11,"What was the reaction of David and his men to the news that Saul a nd Jonathan had 
fallen by the sword (2 Sam 1:11)?","They rejoiced  
4",They tore their clothes,They were silent,They prepared to attack the Philistines,B,B
Questions,2S,1,12,"What rebuke did David have for the Amalekites that brought the news of Saul’s deat h 
(2 Sam 1:14)?",Why did Saul not die by his own hand?,Why were you a sword in the hand of the Philistines by killing Saul?,Why were you not afraid to destroy the Lord’s anointed?,Why were you not afraid of killing a member of the house of  Israel?,C,B
Questions,2S,1,13,How did the Amalekite that brought David news of Saul’s death die (2 Sam 1:15)?,Joab used the man’s own sword to kill him,David ordered one of his men to kill him,David slew him with his own sword,David turned him over  to the Philistines,B,B
Questions,2S,1,14,"Why did David order the death of the Amalekite who brought him the crown of Saul 
(2 Sam 1:16)?",Because he said “I killed the Lord’s anointed”,Because he was an Amalekite,Because he had joined with the Philistines,Because he did not rescue Saul,A,B
Questions,2S,1,15,"David’s lament for Saul and Jonathan was called ______ (2 Sam 1:18)  
5",The lament of the king,The lament of the mighty,The lament of the bow,The lament of the crown,C,B
Questions,2S,1,16,"Where  is the “Lament of the bow” written besides in our text of 2 Samuel (2 Sam 
1:18)?",The book of the annals of the kings,The Book of Iddo the Seer,The Mishnah,The Book of Jashar,D,B
Questions,2S,1,17,"In David’s lament eulogy for Saul and Jonathan how d oes he refer to them in the 
opening line of his lament (2 Sam 1:19)?","Your king, O Israel","Your glory, O Israel","Your mighty, O Israel","Your savior, O Israel",B,A
